TEST_CNT,CENTER_NM,AGE_GBN,TEST_GBN,TEST_AGE,INPUT_GBN,CERT_GBN,TEST_YMD,TEST_SEX
2,포항,청소년,출장,17,관리자,참가증,20190322,M
1,성동,노인,출장,85,관리자,1등급,20190322,M
1,달서,성인,출장,62,관리자,참가증,20190326,F
1,삼척,청소년,출장,13,관리자,3등급,20190325,F
1,목포,청소년,출장,13,관리자,참가증,20190328,M
1,삼척,성인,일반,35,관리자,참가증,20190312,M
1,안동,노인,출장,83,관리자,참가증,20190312,M
1,서초,성인,출장,24,관리자,참가증,20190312,F
1,서초,성인,출장,22,관리자,참가증,20190312,M
1,서초,성인,출장,24,관리자,3등급,20190312,F
1,서초,성인,출장,27,관리자,참가증,20190312,F
1,청주,성인,일반,43,인바디,참가증,20190312,F
1,서초,성인,출장,26,관리자,1등급,20190312,M
3,세종,청소년,출장,16,관리자,1등급,20190312,M
1,금천,청소년,출장,17,관리자,참가증,20190312,M
1,나주,노인,출장,74,관리자,참가증,20190313,F
1,세종,청소년,출장,15,관리자,참가증,20190311,F
1,성남,성인,일반,27,인바디,참가증,20190313,M
2,동구(광주),성인,일반,50,관리자,3등급,20190313,F
5,세종,청소년,출장,16,관리자,2등급,20190312,F
1,오산,성인,일반,55,인바디,참가증,20190313,F
1,금천,청소년,출장,17,관리자,참가증,20190312,M
1,금천,청소년,출장,17,관리자,참가증,20190312,M
1,서초,성인,출장,22,관리자,참가증,20190313,F
1,오산,성인,일반,57,인바디,참가증,20190313,F
2,세종,청소년,출장,16,관리자,2등급,20190312,F
1,금천,청소년,출장,17,관리자,참가증,20190312,M
1,서초,성인,출장,30,관리자,2등급,20190313,M
1,부천,성인,일반,46,관리자,참가증,20190313,M
3,세종,청소년,출장,17,관리자,참가증,20190312,F
1,금천,청소년,출장,17,관리자,3등급,20190312,M
1,세종,청소년,출장,15,관리자,참가증,20190311,F
1,금천,청소년,출장,17,관리자,참가증,20190312,M
3,세종,청소년,출장,16,관리자,참가증,20190312,F
3,세종,청소년,출장,16,관리자,3등급,20190312,M
1,부천,성인,출장,37,관리자,참가증,20190313,M
1,부천,성인,출장,31,관리자,참가증,20190313,M
2,증평,노인,일반,73,관리자,2등급,20190313,F
1,연수,성인,출장,36,관리자,참가증,20190313,M
3,세종,청소년,출장,16,관리자,참가증,20190312,F
6,증평,노인,일반,71,관리자,3등급,20190313,F
1,오산,노인,일반,67,인바디,참가증,20190313,F
1,연수,성인,출장,55,관리자,참가증,20190313,M
1,금천,청소년,출장,17,관리자,2등급,20190312,M
3,세종,청소년,출장,16,관리자,2등급,20190312,F
1,광산,노인,출장,71,관리자,3등급,20190313,F
2,오산,노인,일반,65,관리자,참가증,20190313,F
1,금천,청소년,출장,17,관리자,3등급,20190312,M
1,세종,청소년,출장,16,관리자,참가증,20190311,F
1,서초,성인,출장,19,관리자,참가증,20190313,M
1,서초,성인,출장,28,관리자,참가증,20190313,M
1,서초,성인,출장,34,관리자,참가증,20190313,F
1,서초,성인,출장,28,관리자,참가증,20190313,F
1,서초,성인,출장,27,관리자,참가증,20190313,F
1,서초,성인,출장,19,관리자,3등급,20190313,F
1,서초,성인,출장,26,관리자,2등급,20190313,F
1,서초,성인,출장,19,관리자,참가증,20190313,M
1,서초,성인,출장,22,관리자,참가증,20190313,M
1,서초,성인,출장,19,관리자,참가증,20190313,M
1,서초,성인,출장,25,관리자,참가증,20190313,M
2,서초,성인,출장,24,관리자,2등급,20190313,M
1,서초,성인,출장,24,관리자,3등급,20190313,F
1,서초,성인,출장,23,관리자,2등급,20190313,F
1,서초,성인,출장,30,관리자,1등급,20190313,F
1,서초,성인,출장,24,관리자,참가증,20190313,M
3,동작,청소년,출장,17,관리자,참가증,20190314,M
3,동작,청소년,출장,17,관리자,참가증,20190314,M
2,동작,청소년,출장,17,관리자,참가증,20190314,M
3,동작,청소년,출장,17,관리자,참가증,20190314,M
2,동작,청소년,출장,17,관리자,3등급,20190314,M
3,동작,청소년,출장,17,관리자,3등급,20190314,M
3,동작,청소년,출장,17,관리자,참가증,20190314,M
2,마포,성인,출장,21,관리자,3등급,20190314,M
3,동작,청소년,출장,17,관리자,참가증,20190314,M
1,마포,성인,출장,20,관리자,참가증,20190314,M
1,마포,성인,출장,20,관리자,참가증,20190314,M
3,동작,청소년,출장,17,관리자,참가증,20190314,M
1,마포,성인,출장,22,관리자,3등급,20190314,F
3,동작,청소년,출장,18,관리자,참가증,20190314,M
1,마포,성인,출장,21,관리자,참가증,20190314,M
1,북구(부산),성인,일반,35,관리자,2등급,20190315,F
2,동작,청소년,출장,16,관리자,참가증,20190315,M
1,춘천,성인,일반,41,인바디,참가증,20190315,F
2,동작,청소년,출장,16,관리자,참가증,20190315,M
2,순천,성인,일반,21,인바디,참가증,20190315,M
1,동구(광주),성인,일반,23,관리자,참가증,20190315,F
1,삼척,성인,출장,19,관리자,참가증,20190315,M
2,남원,성인,일반,58,인바디,참가증,20190315,M
1,연수,성인,일반,42,관리자,참가증,20190315,M
1,세종,청소년,출장,15,관리자,참가증,20190315,M
1,연수,성인,일반,53,관리자,참가증,20190315,F
3,세종,청소년,출장,16,관리자,참가증,20190314,F
1,삼척,성인,출장,19,관리자,참가증,20190315,M
1,화성,성인,일반,50,관리자,3등급,20190315,F
1,삼척,청소년,출장,18,관리자,3등급,20190315,M
1,서초,성인,일반,58,관리자,2등급,20190315,F
3,세종,청소년,출장,16,관리자,참가증,20190314,M
1,세종,청소년,출장,16,관리자,2등급,20190315,F
3,세종,청소년,출장,17,관리자,3등급,20190314,M
1,삼척,청소년,출장,18,관리자,참가증,20190315,M
1,삼척,성인,출장,19,관리자,참가증,20190315,M
1,세종,청소년,출장,16,관리자,참가증,20190315,M
3,세종,청소년,출장,16,관리자,3등급,20190314,M
1,사천,성인,일반,61,관리자,3등급,20190315,F
1,삼척,성인,출장,19,관리자,참가증,20190315,M
1,삼척,성인,출장,19,관리자,2등급,20190315,M
1,삼척,성인,출장,19,관리자,참가증,20190315,F
3,세종,청소년,출장,17,관리자,참가증,20190314,M
1,세종,청소년,출장,15,관리자,참가증,20190315,F
1,삼척,성인,출장,20,관리자,참가증,20190315,M
3,세종,청소년,출장,16,관리자,참가증,20190314,M
1,노원,성인,일반,58,관리자,참가증,20190315,F
1,삼척,청소년,출장,18,관리자,참가증,20190315,M
1,삼척,성인,출장,19,관리자,참가증,20190315,M
3,세종,청소년,출장,16,관리자,3등급,20190314,M
1,세종,청소년,일반,15,관리자,3등급,20190315,M
1,노원,성인,일반,56,관리자,참가증,20190315,F
1,삼척,청소년,출장,18,관리자,3등급,20190315,M
1,삼척,청소년,출장,18,관리자,참가증,20190315,F
1,삼척,청소년,출장,18,관리자,참가증,20190315,M
1,세종,청소년,출장,15,관리자,3등급,20190315,F
3,포항,청소년,출장,17,관리자,1등급,20190318,M
3,포항,청소년,출장,17,관리자,1등급,20190318,M
3,포항,청소년,출장,17,관리자,3등급,20190318,M
1,포항,청소년,출장,18,관리자,2등급,20190318,M
3,포항,청소년,출장,17,관리자,참가증,20190318,M
3,포항,청소년,출장,18,관리자,참가증,20190318,M
1,포항,청소년,출장,18,관리자,참가증,20190318,M
3,포항,청소년,출장,17,관리자,참가증,20190318,M
3,포항,청소년,출장,17,관리자,3등급,20190318,M
3,포항,청소년,출장,17,관리자,2등급,20190318,M
3,포항,청소년,출장,17,관리자,참가증,20190318,M
3,포항,청소년,출장,18,관리자,3등급,20190318,M
2,오산,노인,일반,68,인바디,3등급,20190318,M
1,오산,노인,일반,75,인바디,3등급,20190318,M
3,성동,성인,일반,43,관리자,참가증,20190318,F
1,오산,성인,일반,21,인바디,3등급,20190318,F
2,원주,성인,일반,19,인바디,참가증,20190318,M
2,오산,성인,일반,53,인바디,3등급,20190318,F
1,동작,청소년,출장,17,관리자,참가증,20190318,M
1,동작,청소년,출장,17,관리자,2등급,20190318,M
1,동작,청소년,출장,18,관리자,2등급,20190318,M
1,서초,성인,출장,20,관리자,참가증,20190318,F
1,동작,청소년,출장,17,관리자,참가증,20190318,M
1,서구(대전),성인,일반,54,관리자,참가증,20190318,F
1,서초,성인,출장,20,관리자,참가증,20190318,F
20,곡성,노인,일반,71,관리자,1등급,20190318,F
1,서초,성인,출장,22,관리자,참가증,20190318,M
1,동작,청소년,출장,17,관리자,3등급,20190318,M
1,서초,성인,출장,21,관리자,참가증,20190318,F
1,동작,청소년,출장,17,관리자,참가증,20190318,M
1,서초,성인,출장,22,관리자,참가증,20190318,F
1,서초,성인,출장,21,관리자,참가증,20190318,M
1,동작,청소년,출장,17,관리자,참가증,20190318,M
1,동작,청소년,출장,17,관리자,3등급,20190318,M
1,서초,성인,출장,22,관리자,참가증,20190318,F
1,동작,청소년,출장,18,관리자,2등급,20190318,M
1,나주,성인,출장,51,관리자,참가증,20190318,F
1,나주,성인,출장,61,관리자,참가증,20190318,F
20,화성,성인,일반,49,관리자,참가증,20190319,F
6,남원,성인,일반,60,관리자,1등급,20190327,F
1,나주,성인,출장,55,관리자,참가증,20190318,F
1,성남,성인,일반,47,인바디,참가증,20190319,F
8,남원,성인,일반,58,관리자,3등급,20190327,F
1,나주,성인,출장,37,관리자,참가증,20190318,F
1,성동,성인,일반,59,관리자,3등급,20190319,M
3,남원,성인,일반,60,관리자,참가증,20190327,F
1,세종,성인,출장,44,관리자,참가증,20190316,F
1,원주,노인,일반,70,인바디,참가증,20190319,M
1,세종,성인,출장,35,관리자,참가증,20190316,F
2,세종,성인,출장,59,관리자,참가증,20190316,F
1,노원,성인,일반,51,인바디,참가증,20190319,F
4,서구(대전),성인,출장,57,관리자,1등급,20190319,M
3,의정부,성인,일반,52,관리자,3등급,20190319,F
1,세종,성인,출장,48,관리자,2등급,20190316,F
1,부천,노인,일반,66,관리자,3등급,20190319,F
1,세종,성인,출장,38,관리자,2등급,20190316,F
1,부천,노인,일반,79,관리자,2등급,20190319,M
1,오산,노인,일반,75,관리자,2등급,20190319,M
1,노원,성인,일반,29,인바디,참가증,20190319,F
1,세종,성인,출장,44,관리자,참가증,20190316,F
2,부천,노인,일반,73,관리자,2등급,20190319,M
1,세종,성인,출장,40,관리자,2등급,20190316,F
2,성남,성인,일반,48,인바디,참가증,20190319,F
1,안동,성인,일반,47,관리자,참가증,20190319,F
1,세종,성인,출장,50,관리자,3등급,20190316,F
1,안동,성인,일반,20,관리자,참가증,20190319,F
1,부천,성인,일반,56,관리자,참가증,20190319,F
1,세종,성인,출장,36,관리자,참가증,20190316,F
2,의정부,노인,일반,76,관리자,3등급,20190319,F
1,의정부,노인,일반,70,관리자,3등급,20190319,M
1,성남,노인,일반,65,인바디,참가증,20190319,F
3,의정부,노인,일반,73,관리자,참가증,20190319,M
1,금천,노인,일반,72,관리자,참가증,20190319,M
1,동작,청소년,출장,15,관리자,참가증,20190319,M
2,서구(대전),성인,출장,41,관리자,3등급,20190319,M
1,서구(대전),성인,출장,49,관리자,참가증,20190319,F
1,남구(부산),성인,일반,34,관리자,3등급,20190319,M
8,남원,성인,일반,63,관리자,참가증,20190319,F
1,남구(부산),노인,출장,70,관리자,3등급,20190319,M
1,화성,성인,일반,20,관리자,참가증,20190319,F
8,남원,성인,일반,63,관리자,참가증,20190319,F
1,의정부,노인,일반,76,관리자,2등급,20190319,M
2,연수,성인,일반,57,관리자,참가증,20190319,M
1,안동,성인,일반,56,관리자,참가증,20190319,F
1,안동,성인,일반,57,관리자,2등급,20190319,M
1,노원,성인,일반,57,관리자,3등급,20190319,F
1,영동,청소년,출장,18,관리자,참가증,20190319,F
1,영동,청소년,출장,18,관리자,참가증,20190319,F
1,영동,청소년,출장,18,관리자,참가증,20190319,F
3,순천,성인,일반,23,인바디,참가증,20190319,M
1,영동,청소년,출장,18,관리자,참가증,20190319,M
3,의정부,성인,일반,58,관리자,참가증,20190319,F
6,순천,성인,일반,24,인바디,참가증,20190319,M
3,의정부,성인,일반,56,관리자,3등급,20190319,F
2,의정부,성인,일반,54,관리자,참가증,20190319,F
1,영동,성인,출장,19,관리자,참가증,20190319,M
1,사하,성인,일반,37,관리자,참가증,20190319,M
1,영동,성인,출장,19,관리자,3등급,20190319,M
1,영동,청소년,출장,18,관리자,참가증,20190319,M
1,삼척,성인,일반,24,관리자,참가증,20190319,M
1,성동,성인,일반,56,관리자,3등급,20190319,F
1,영동,청소년,출장,18,관리자,참가증,20190319,M
1,영동,청소년,출장,18,관리자,1등급,20190319,M
1,영동,청소년,출장,18,관리자,참가증,20190319,M
1,영동,성인,출장,19,관리자,참가증,20190319,F
1,영동,성인,출장,19,관리자,참가증,20190319,M
1,영동,성인,출장,19,관리자,참가증,20190319,M
2,성남,성인,일반,46,인바디,3등급,20190319,F
1,제주,성인,일반,60,관리자,참가증,20190320,F
1,안동,노인,출장,78,관리자,참가증,20190320,F
3,영동,성인,출장,19,관리자,2등급,20190320,M
2,안동,노인,출장,71,관리자,참가증,20190320,F
3,영동,성인,출장,20,관리자,1등급,20190320,F
1,안동,노인,출장,69,관리자,참가증,20190320,F
6,영동,성인,출장,21,관리자,2등급,20190320,M
1,안동,노인,출장,69,관리자,참가증,20190320,F
1,천안,청소년,출장,17,관리자,참가증,20190320,M
4,영동,성인,출장,20,관리자,참가증,20190320,F
1,안동,노인,출장,66,관리자,참가증,20190320,F
2,안동,노인,출장,65,관리자,참가증,20190320,F
1,천안,청소년,출장,17,관리자,참가증,20190320,M
4,영동,성인,출장,19,관리자,3등급,20190320,M
1,안동,노인,출장,70,관리자,참가증,20190320,F
1,천안,청소년,출장,17,관리자,3등급,20190320,M
1,안동,노인,출장,68,관리자,참가증,20190320,F
1,천안,청소년,출장,17,관리자,참가증,20190320,M
1,오산,노인,일반,74,인바디,3등급,20190321,M
1,안동,노인,출장,74,관리자,참가증,20190320,F
1,안동,노인,출장,67,관리자,참가증,20190320,F
1,천안,청소년,출장,17,관리자,참가증,20190320,F
1,안동,노인,출장,70,관리자,참가증,20190320,F
1,천안,청소년,출장,17,관리자,참가증,20190320,M
3,영동,성인,출장,19,관리자,3등급,20190320,M
1,오산,노인,일반,78,인바디,참가증,20190321,M
1,안동,노인,출장,69,관리자,참가증,20190320,F
1,천안,청소년,출장,17,관리자,참가증,20190320,M
9,영동,성인,출장,21,관리자,2등급,20190320,F
2,영동,청소년,출장,18,관리자,2등급,20190320,M
3,영동,성인,출장,20,관리자,3등급,20190320,M
1,천안,청소년,출장,17,관리자,3등급,20190320,M
3,영동,성인,출장,22,관리자,참가증,20190320,M
1,성동,성인,일반,25,관리자,참가증,20190321,F
1,의정부,노인,일반,77,관리자,2등급,20190321,M
1,천안,청소년,출장,17,관리자,참가증,20190320,M
1,천안,청소년,출장,17,관리자,참가증,20190320,M
3,영동,성인,출장,21,관리자,3등급,20190320,M
2,서구(대전),성인,출장,49,관리자,3등급,20190321,F
1,포항,청소년,출장,15,관리자,참가증,20190321,M
1,성동,성인,일반,25,관리자,2등급,20190321,M
2,포항,청소년,출장,15,관리자,참가증,20190321,M
4,포항,청소년,출장,15,관리자,2등급,20190321,M
1,성동,성인,일반,24,관리자,3등급,20190321,M
1,포항,청소년,출장,15,관리자,참가증,20190321,M
1,부천,성인,일반,59,관리자,참가증,20190321,F
1,성동,성인,일반,24,관리자,참가증,20190321,M
1,원주,성인,일반,45,인바디,참가증,20190321,F
1,포항,청소년,출장,15,관리자,참가증,20190321,M
1,남구(부산),성인,출장,51,관리자,참가증,20190321,M
1,포항,청소년,출장,16,관리자,3등급,20190321,M
1,포항,청소년,출장,15,관리자,참가증,20190321,M
1,포항,청소년,출장,16,관리자,3등급,20190321,M
1,서구(대전),성인,출장,43,관리자,참가증,20190321,M
1,포항,청소년,출장,15,관리자,3등급,20190321,M
1,서구(대전),성인,출장,45,관리자,참가증,20190321,F
1,포항,청소년,출장,15,관리자,참가증,20190321,M
1,화성,성인,일반,49,관리자,3등급,20190318,F
1,삼척,노인,출장,78,관리자,참가증,20190321,F
5,강릉,성인,출장,22,관리자,3등급,20190321,F
1,안동,노인,출장,65,관리자,참가증,20190320,F
1,포항,청소년,출장,15,관리자,참가증,20190321,M
3,포항,청소년,출장,15,관리자,3등급,20190321,M
1,포항,청소년,출장,15,관리자,참가증,20190321,M
1,삼척,노인,출장,70,관리자,참가증,20190321,F
3,강릉,성인,출장,23,관리자,참가증,20190321,M
1,삼척,노인,출장,72,관리자,참가증,20190321,F
3,강릉,성인,출장,24,관리자,참가증,20190321,M
1,서초,노인,일반,69,인바디,2등급,20190321,F
2,강릉,성인,출장,21,관리자,참가증,20190321,M
3,강릉,성인,출장,24,관리자,참가증,20190321,M
1,삼척,노인,출장,69,관리자,참가증,20190321,F
1,삼척,노인,출장,88,관리자,참가증,20190321,F
1,삼척,노인,출장,76,관리자,참가증,20190321,F
1,강릉,성인,출장,21,관리자,3등급,20190321,M
1,사상,성인,출장,28,관리자,참가증,20190310,F
1,부천,성인,일반,58,관리자,참가증,20190312,F
1,부천,성인,일반,55,관리자,3등급,20190312,M
1,사상,성인,출장,62,관리자,참가증,20190310,F
1,사상,성인,출장,54,관리자,참가증,20190310,F
8,증평,노인,일반,72,관리자,2등급,20190312,M
1,광산,성인,일반,25,관리자,참가증,20190312,M
1,성남,성인,일반,56,인바디,참가증,20190312,F
1,사상,성인,출장,30,관리자,참가증,20190310,M
1,사상,성인,출장,44,관리자,참가증,20190310,M
2,사상,성인,출장,23,관리자,참가증,20190310,M
1,사상,성인,출장,29,관리자,참가증,20190310,M
2,동작,청소년,출장,16,관리자,3등급,20190312,M
1,사상,성인,출장,38,관리자,참가증,20190310,M
1,남구(울산),노인,출장,79,관리자,3등급,20190311,F
2,동작,청소년,출장,16,관리자,참가증,20190312,M
1,사상,성인,출장,37,관리자,참가증,20190310,F
1,창원,성인,일반,60,관리자,참가증,20190312,M
1,창원,성인,일반,58,관리자,참가증,20190312,M
1,남구(울산),노인,출장,66,관리자,참가증,20190311,M
1,창원,성인,일반,47,관리자,참가증,20190312,F
1,성남,노인,일반,79,인바디,참가증,20190312,M
1,사상,성인,출장,37,관리자,참가증,20190310,F
1,남구(울산),노인,출장,69,관리자,참가증,20190311,F
1,남구(울산),노인,출장,65,관리자,3등급,20190311,F
2,사상,성인,출장,24,관리자,참가증,20190310,M
1,부천,노인,일반,67,관리자,3등급,20190312,M
1,남구(울산),노인,출장,82,관리자,참가증,20190311,M
1,사상,성인,출장,51,관리자,참가증,20190310,M
1,의정부,노인,일반,65,관리자,참가증,20190312,M
3,증평,성인,일반,59,관리자,참가증,20190312,F
1,사상,성인,출장,37,관리자,참가증,20190310,M
2,증평,성인,일반,56,관리자,참가증,20190312,F
1,춘천,성인,출장,22,관리자,3등급,20190312,M
1,춘천,성인,출장,22,관리자,2등급,20190312,M
1,춘천,성인,출장,22,관리자,참가증,20190312,M
1,남구(울산),노인,출장,74,관리자,3등급,20190311,F
1,춘천,성인,출장,23,관리자,참가증,20190312,M
23,화성,노인,일반,70,관리자,2등급,20190312,M
