TEST_CNT,CENTER_NM,AGE_GBN,TEST_GBN,TEST_AGE,INPUT_GBN,CERT_GBN,TEST_YMD,TEST_SEX
1,남원,성인,일반,38,관리자,2등급,20170204,M
2,순천,성인,출장,37,관리자,참가증,20170201,F
1,동구(광주),성인,일반,36,관리자,1등급,20170220,M
2,창원,성인,일반,19,관리자,참가증,20170201,F
2,순천,성인,출장,47,관리자,3등급,20170201,F
1,마포,노인,일반,69,인바디,3등급,20170201,M
1,노원,성인,일반,58,인바디,3등급,20170202,F
1,동구(광주),성인,일반,24,관리자,참가증,20170201,M
7,창원,성인,일반,58,인바디,참가증,20170201,F
1,금천,성인,일반,26,관리자,참가증,20170201,F
1,동구(광주),성인,일반,57,관리자,참가증,20170201,F
8,금천,노인,일반,69,관리자,참가증,20170201,F
2,금천,노인,일반,69,관리자,참가증,20170201,M
1,사천,성인,일반,33,인바디,3등급,20170201,F
1,성동,성인,일반,32,관리자,참가증,20170201,M
2,성동,성인,일반,29,관리자,참가증,20170201,M
1,서구(대전),성인,일반,34,관리자,참가증,20170201,M
1,마포,성인,일반,24,인바디,참가증,20170201,F
1,사천,성인,일반,61,인바디,참가증,20170201,M
1,서구(대전),성인,일반,36,관리자,참가증,20170201,M
1,마포,성인,일반,23,인바디,참가증,20170201,F
3,사천,성인,일반,61,인바디,참가증,20170201,F
1,동구(광주),성인,일반,28,관리자,참가증,20170201,M
1,달서,성인,일반,30,인바디,3등급,20170201,F
4,달서,성인,일반,37,인바디,참가증,20170201,M
2,천안,성인,일반,58,인바디,3등급,20170201,F
1,오산,성인,일반,54,관리자,참가증,20170201,F
1,오산,성인,일반,61,인바디,참가증,20170201,F
2,순천,성인,출장,47,관리자,참가증,20170201,F
2,순천,성인,출장,42,관리자,3등급,20170201,F
2,순천,성인,출장,45,관리자,3등급,20170201,F
2,순천,성인,출장,44,관리자,참가증,20170201,F
2,순천,성인,출장,47,관리자,3등급,20170201,F
2,순천,성인,출장,34,관리자,참가증,20170201,F
2,순천,성인,출장,45,관리자,참가증,20170201,M
2,순천,성인,출장,35,관리자,참가증,20170201,F
1,노원,성인,일반,55,인바디,참가증,20170201,F
2,순천,성인,출장,40,관리자,참가증,20170201,F
2,순천,성인,출장,58,관리자,3등급,20170201,F
7,남원,성인,일반,48,관리자,3등급,20170201,F
2,순천,성인,출장,34,관리자,참가증,20170201,F
2,KSPO(버스),노인,출장,67,관리자,3등급,20170201,M
2,순천,성인,출장,37,관리자,참가증,20170201,M
2,순천,성인,출장,35,관리자,참가증,20170201,F
2,순천,성인,출장,35,관리자,참가증,20170201,F
