TEST_CNT,CENTER_NM,AGE_GBN,TEST_GBN,TEST_AGE,INPUT_GBN,CERT_GBN,TEST_YMD,TEST_SEX
1,창원,성인,일반,49,관리자,참가증,20180220,F
4,곡성,노인,일반,80,관리자,참가증,20180226,F
2,나주,노인,출장,86,관리자,참가증,20180228,F
1,마포,노인,출장,71,관리자,2등급,20180228,F
2,나주,노인,출장,82,관리자,3등급,20180228,F
2,세종,성인,출장,41,관리자,참가증,20180228,F
2,나주,노인,출장,96,관리자,참가증,20180228,F
1,성동,노인,일반,70,관리자,2등급,20180228,M
2,나주,성인,출장,48,관리자,참가증,20180228,M
2,세종,성인,출장,61,관리자,참가증,20180228,M
1,마포,노인,출장,79,관리자,참가증,20180228,M
2,나주,노인,출장,87,관리자,참가증,20180228,F
3,청주,노인,일반,73,인바디,참가증,20180228,F
1,마포,노인,출장,75,관리자,3등급,20180228,M
1,남원,성인,출장,56,관리자,참가증,20180228,M
1,마포,노인,출장,74,관리자,3등급,20180228,F
2,세종,성인,출장,45,관리자,참가증,20180228,F
1,남원,성인,출장,47,관리자,참가증,20180228,M
1,마포,노인,출장,79,관리자,2등급,20180228,F
2,나주,성인,출장,58,관리자,참가증,20180228,M
1,남원,성인,출장,51,관리자,참가증,20180228,M
4,안동,성인,일반,56,관리자,3등급,20180228,F
1,남원,성인,출장,46,관리자,참가증,20180228,M
1,안동,성인,일반,43,관리자,3등급,20180228,F
2,나주,성인,출장,56,관리자,3등급,20180228,F
1,안동,성인,일반,42,관리자,참가증,20180228,F
2,나주,성인,출장,21,관리자,참가증,20180228,M
1,남원,성인,출장,48,관리자,3등급,20180228,M
1,마포,노인,출장,82,관리자,2등급,20180228,M
2,나주,성인,일반,19,관리자,참가증,20180226,M
2,나주,성인,일반,20,관리자,2등급,20180226,M
1,마포,노인,일반,67,관리자,3등급,20180226,M
1,마포,노인,일반,73,관리자,3등급,20180226,M
1,순천,노인,일반,78,인바디,참가증,20180226,F
7,순천,노인,일반,69,인바디,참가증,20180226,F
1,전주,성인,일반,56,인바디,참가증,20180226,F
1,전주,성인,일반,27,인바디,참가증,20180226,F
1,동작,성인,일반,62,관리자,참가증,20180226,M
2,전주,성인,일반,19,인바디,3등급,20180226,F
1,전주,성인,일반,19,인바디,참가증,20180226,F
1,동구(광주),성인,일반,25,관리자,참가증,20180226,M
1,천안,성인,일반,24,인바디,참가증,20180226,M
1,동작,노인,일반,65,관리자,참가증,20180226,F
1,마포,성인,일반,59,인바디,참가증,20180226,F
4,동작,성인,일반,63,관리자,3등급,20180226,F
1,마포,성인,일반,62,인바디,참가증,20180226,M
1,동작,성인,일반,60,관리자,참가증,20180226,F
1,동작,노인,일반,66,관리자,3등급,20180226,M
7,금천,노인,일반,72,관리자,3등급,20180226,F
2,동구(광주),성인,일반,60,관리자,참가증,20180226,F
20,화성,성인,일반,56,관리자,1등급,20180226,F
13,화성,성인,일반,62,관리자,2등급,20180226,F
1,동구(광주),노인,일반,67,관리자,참가증,20180226,M
17,화성,성인,일반,60,관리자,1등급,20180226,F
4,동작,성인,일반,63,관리자,참가증,20180226,F
1,마포,노인,일반,72,인바디,참가증,20180226,M
24,화성,성인,일반,62,관리자,1등급,20180226,F
7,화성,성인,일반,63,관리자,3등급,20180226,F
6,화성,성인,일반,63,관리자,2등급,20180226,F
4,동작,노인,일반,68,관리자,참가증,20180226,F
2,세종,성인,출장,38,관리자,2등급,20180226,F
2,세종,성인,출장,60,관리자,참가증,20180226,F
19,화성,성인,일반,40,관리자,참가증,20180226,F
15,화성,성인,일반,48,관리자,참가증,20180226,F
2,순천,성인,일반,63,인바디,참가증,20180226,M
14,화성,성인,일반,41,관리자,3등급,20180226,F
2,세종,성인,출장,39,관리자,2등급,20180226,F
1,의정부,노인,일반,65,관리자,2등급,20180226,M
2,세종,성인,출장,42,관리자,2등급,20180226,F
2,세종,성인,출장,47,관리자,2등급,20180226,F
4,순천,성인,일반,53,인바디,참가증,20180226,M
2,세종,성인,출장,48,관리자,참가증,20180226,F
3,세종,성인,출장,31,관리자,3등급,20180226,F
1,동작,성인,일반,60,관리자,3등급,20180226,F
1,동작,성인,일반,48,관리자,참가증,20180226,F
1,마포,성인,일반,21,관리자,3등급,20180226,F
1,마포,성인,일반,51,인바디,3등급,20180226,F
1,마포,성인,일반,64,인바디,3등급,20180226,F
2,동구(광주),성인,일반,26,관리자,참가증,20180226,M
1,노원,성인,일반,57,인바디,참가증,20180226,F
1,마포,성인,일반,44,관리자,참가증,20180226,F
2,마포,성인,일반,40,인바디,참가증,20180226,F
1,마포,성인,일반,48,인바디,참가증,20180226,M
7,세종,성인,출장,52,관리자,참가증,20180226,F
2,세종,성인,출장,35,관리자,참가증,20180226,F
