TEST_CNT,CENTER_NM,AGE_GBN,TEST_GBN,TEST_AGE,INPUT_GBN,CERT_GBN,TEST_YMD,TEST_SEX
1,목포,노인,출장,79,관리자,2등급,20190710,M
1,군산,성인,일반,29,관리자,참가증,20190704,F
2,서구(대전),성인,일반,32,관리자,2등급,20190701,F
1,안동,성인,일반,62,관리자,참가증,20190701,F
5,남구(울산),성인,일반,38,관리자,3등급,20190701,F
1,서구(대전),성인,일반,22,관리자,참가증,20190701,M
1,원주,노인,일반,66,인바디,3등급,20190701,F
2,서구(대전),성인,일반,42,관리자,2등급,20190701,F
2,순천,성인,일반,45,인바디,참가증,20190701,F
2,서구(대전),노인,일반,68,관리자,참가증,20190701,F
1,청주,성인,일반,64,인바디,참가증,20190701,F
2,동작,노인,일반,65,관리자,3등급,20190701,M
9,서구(대전),노인,일반,71,관리자,참가증,20190701,F
5,서구(대전),노인,일반,69,관리자,3등급,20190701,F
5,서구(대전),노인,일반,70,관리자,참가증,20190701,F
7,서구(대전),노인,일반,74,관리자,참가증,20190701,F
2,동작,노인,일반,68,관리자,3등급,20190701,M
5,순천,성인,일반,20,인바디,3등급,20190701,F
1,스포원(금정),성인,일반,42,인바디,참가증,20190701,M
2,서구(대전),노인,일반,67,관리자,참가증,20190701,F
1,성동,성인,일반,44,관리자,참가증,20190701,F
6,서구(대전),노인,일반,73,관리자,참가증,20190701,F
2,동작,성인,일반,42,관리자,3등급,20190701,F
2,서구(대전),노인,일반,65,관리자,참가증,20190701,F
2,서구(대전),노인,일반,76,관리자,참가증,20190701,F
1,창원,성인,일반,25,관리자,2등급,20190701,M
1,마포,성인,일반,63,인바디,참가증,20190701,F
4,서구(대전),성인,일반,25,관리자,참가증,20190701,M
1,북구(부산),성인,일반,20,관리자,참가증,20190701,F
1,서초,성인,일반,25,인바디,참가증,20190701,M
1,천안,성인,일반,32,관리자,2등급,20190701,M
1,마포,성인,일반,40,관리자,참가증,20190701,M
1,북구(부산),성인,일반,20,관리자,참가증,20190701,F
1,군산,성인,일반,61,관리자,참가증,20190701,F
1,군산,성인,일반,61,관리자,참가증,20190701,F
1,노원,성인,일반,25,관리자,3등급,20190701,F
1,달서,성인,일반,63,인바디,참가증,20190701,M
1,세종,노인,일반,71,인바디,참가증,20190701,M
1,달서,성인,일반,27,인바디,참가증,20190701,M
1,KSPO송파(출장A),성인,출장,45,관리자,참가증,20190701,M
2,청주,노인,일반,66,인바디,참가증,20190701,M
7,청주,성인,일반,64,인바디,3등급,20190701,M
1,노원,성인,일반,20,인바디,참가증,20190701,F
1,순천,노인,일반,66,인바디,참가증,20190701,F
1,서구(대전),성인,일반,23,관리자,참가증,20190701,F
1,서구(대전),성인,일반,20,관리자,3등급,20190701,F
1,삼척,성인,일반,21,관리자,참가증,20190701,F
1,KSPO송파(출장A),성인,출장,29,관리자,참가증,20190701,M
1,KSPO송파(출장A),성인,출장,39,관리자,참가증,20190701,M
1,KSPO송파(출장A),성인,출장,41,관리자,참가증,20190701,M
1,부천,성인,일반,34,관리자,참가증,20190701,F
3,춘천,성인,일반,23,관리자,참가증,20190701,M
1,KSPO송파(출장A),성인,출장,33,관리자,3등급,20190701,M
1,KSPO송파(출장A),성인,출장,32,관리자,참가증,20190701,M
1,KSPO송파(출장A),성인,출장,30,관리자,참가증,20190701,M
1,의정부,성인,일반,55,관리자,참가증,20190701,M
2,남구(부산),성인,일반,49,관리자,참가증,20190701,M
1,KSPO송파(출장A),성인,출장,26,관리자,참가증,20190701,M
1,KSPO송파(출장A),성인,출장,43,관리자,2등급,20190701,M
1,KSPO송파(출장A),성인,출장,33,관리자,참가증,20190701,M
1,포항,성인,일반,63,인바디,참가증,20190701,F
1,KSPO송파(출장A),성인,출장,46,관리자,3등급,20190701,M
1,KSPO송파(출장A),성인,출장,28,관리자,참가증,20190701,M
1,사상,성인,일반,38,관리자,3등급,20190701,M
1,성남,성인,일반,23,인바디,참가증,20190701,F
1,KSPO송파(출장A),성인,출장,35,관리자,참가증,20190701,M
2,화성,성인,일반,61,관리자,3등급,20190701,M
1,금천,성인,일반,33,관리자,참가증,20190701,M
1,사상,성인,일반,44,관리자,참가증,20190701,F
6,사천,성인,일반,19,관리자,참가증,20190701,F
2,북구(부산),성인,일반,42,관리자,참가증,20190701,F
1,전주,성인,출장,19,관리자,참가증,20190701,M
4,동구(광주),노인,일반,68,관리자,2등급,20190701,F
1,군산,성인,일반,52,관리자,참가증,20190701,F
2,사천,성인,일반,23,관리자,3등급,20190701,M
1,군산,성인,일반,43,관리자,참가증,20190701,F
1,청주,성인,일반,45,인바디,참가증,20190701,F
1,금천,성인,일반,21,관리자,참가증,20190701,F
1,서초,성인,일반,23,인바디,참가증,20190701,M
1,전주,성인,출장,19,관리자,참가증,20190701,M
1,서구(대전),성인,일반,41,관리자,2등급,20190701,F
1,강릉,성인,일반,63,관리자,2등급,20190701,M
14,영동,성인,일반,25,관리자,참가증,20190701,F
1,KSPO송파(출장A),성인,출장,29,관리자,3등급,20190701,M
1,KSPO송파(출장A),성인,출장,52,관리자,참가증,20190701,M
1,KSPO송파(출장A),성인,출장,29,관리자,참가증,20190701,M
2,오산,성인,일반,26,인바디,참가증,20190701,F
1,동구(광주),노인,출장,72,관리자,참가증,20190701,M
1,강릉,성인,일반,62,관리자,참가증,20190701,F
1,전주,성인,일반,31,인바디,참가증,20190701,F
1,전주,성인,일반,40,인바디,참가증,20190701,M
1,성동,노인,일반,72,관리자,2등급,20190701,F
1,KSPO송파(출장A),성인,출장,33,관리자,참가증,20190701,M
1,동구(광주),노인,출장,74,관리자,참가증,20190701,F
1,KSPO송파(출장A),성인,출장,43,관리자,참가증,20190701,M
1,스포원(금정),성인,일반,29,인바디,참가증,20190701,M
1,스포원(금정),성인,일반,29,인바디,참가증,20190701,M
