TEST_CNT,CENTER_NM,AGE_GBN,TEST_GBN,TEST_AGE,INPUT_GBN,CERT_GBN,TEST_YMD,TEST_SEX
2,연수,노인,일반,68,관리자,참가증,20190208,F
4,KSPO송파,성인,출장,59,관리자,참가증,20190213,F
3,KSPO송파,성인,출장,58,관리자,참가증,20190213,F
16,순천,노인,일반,79,인바디,2등급,20190213,F
2,동구(광주),성인,일반,29,관리자,참가증,20190213,M
1,금천,노인,일반,73,관리자,1등급,20190213,M
2,노원,성인,일반,60,인바디,3등급,20190213,M
18,강릉,노인,일반,82,인바디,3등급,20190213,M
1,성남,노인,일반,77,인바디,3등급,20190213,M
2,노원,노인,일반,65,인바디,3등급,20190213,F
2,창원,성인,일반,35,관리자,참가증,20190213,F
4,창원,성인,일반,33,관리자,참가증,20190213,F
2,KSPO송파,성인,출장,64,관리자,참가증,20190213,F
1,금천,노인,일반,73,관리자,1등급,20190213,M
3,KSPO송파,노인,출장,70,관리자,참가증,20190213,F
1,원주,노인,일반,77,인바디,2등급,20190213,M
2,KSPO송파,노인,출장,68,관리자,참가증,20190213,F
1,제주,성인,일반,60,관리자,3등급,20190213,M
1,순천,노인,일반,76,인바디,참가증,20190213,M
1,춘천,노인,출장,74,관리자,참가증,20190213,M
2,춘천,노인,출장,77,관리자,참가증,20190213,M
1,춘천,노인,출장,77,관리자,3등급,20190213,M
1,춘천,노인,출장,74,관리자,참가증,20190213,M
1,춘천,노인,출장,70,관리자,참가증,20190213,F
1,춘천,노인,출장,77,관리자,3등급,20190213,M
1,춘천,노인,출장,66,관리자,참가증,20190213,F
1,춘천,노인,출장,73,관리자,참가증,20190213,F
1,춘천,노인,출장,76,관리자,3등급,20190213,M
1,춘천,노인,출장,72,관리자,3등급,20190213,F
2,KSPO송파,노인,출장,66,관리자,참가증,20190213,M
1,춘천,노인,출장,77,관리자,참가증,20190213,M
1,KSPO송파,성인,일반,34,인바디,참가증,20190216,F
1,강릉,노인,출장,78,관리자,2등급,20190217,F
2,남구(울산),성인,일반,42,관리자,참가증,20190221,M
1,남구(울산),성인,일반,26,관리자,참가증,20190221,M
1,순천,성인,일반,49,인바디,참가증,20190221,M
1,연수,노인,일반,70,관리자,3등급,20190221,M
4,노원,성인,일반,61,관리자,2등급,20190221,F
1,천안,성인,출장,51,관리자,3등급,20190221,F
13,청주,노인,일반,71,인바디,3등급,20190221,F
9,청주,노인,일반,71,인바디,3등급,20190221,F
25,청주,노인,일반,82,인바디,참가증,20190221,M
5,청주,성인,일반,64,인바디,참가증,20190221,F
1,달서,성인,일반,64,인바디,참가증,20190221,M
1,남구(울산),성인,일반,29,관리자,참가증,20190221,M
2,남구(울산),성인,일반,28,관리자,참가증,20190221,M
4,청주,노인,일반,72,인바디,참가증,20190221,M
5,청주,노인,일반,76,인바디,3등급,20190221,F
10,청주,노인,일반,71,인바디,참가증,20190221,M
6,청주,노인,일반,68,인바디,참가증,20190221,F
11,청주,노인,일반,71,인바디,참가증,20190221,F
2,청주,노인,일반,71,인바디,참가증,20190221,F
1,금천,노인,일반,70,관리자,2등급,20190221,F
1,금천,노인,일반,66,관리자,3등급,20190221,M
2,노원,성인,출장,64,관리자,3등급,20190221,M
3,성남,성인,일반,52,인바디,2등급,20190221,F
2,노원,노인,출장,67,관리자,3등급,20190221,F
1,동구(광주),성인,일반,63,관리자,참가증,20190221,M
7,원주,노인,일반,70,인바디,참가증,20190221,M
1,KSPO송파,노인,일반,74,관리자,참가증,20190221,M
8,원주,노인,일반,68,인바디,1등급,20190221,F
1,성남,노인,일반,75,인바디,3등급,20190221,M
5,증평,성인,일반,64,관리자,참가증,20190221,F
1,마포,노인,출장,75,관리자,3등급,20190222,M
1,마포,노인,출장,79,관리자,참가증,20190222,F
1,마포,노인,출장,72,관리자,참가증,20190222,F
1,연수,노인,일반,70,관리자,3등급,20190222,M
4,노원,성인,출장,62,관리자,참가증,20190222,M
2,KSPO송파,노인,일반,68,인바디,2등급,20190222,M
1,마포,노인,출장,79,관리자,3등급,20190222,F
1,마포,노인,출장,76,관리자,참가증,20190222,F
1,마포,노인,출장,65,관리자,참가증,20190222,M
1,마포,노인,출장,84,관리자,3등급,20190222,F
1,순천,성인,일반,20,인바디,참가증,20190222,F
1,성남,노인,일반,69,인바디,2등급,20190222,F
1,순천,성인,일반,23,인바디,참가증,20190222,M
1,마포,노인,출장,78,관리자,참가증,20190222,F
1,마포,노인,출장,71,관리자,2등급,20190222,F
1,증평,성인,일반,61,관리자,참가증,20190222,M
2,KSPO송파,노인,일반,74,인바디,3등급,20190222,F
5,KSPO송파,노인,일반,66,인바디,3등급,20190222,M
1,마포,노인,출장,80,관리자,참가증,20190222,F
1,마포,노인,출장,72,관리자,3등급,20190222,F
4,금천,성인,일반,34,관리자,참가증,20190222,F
1,순천,성인,일반,64,인바디,2등급,20190222,F
1,순천,성인,일반,63,인바디,참가증,20190222,F
1,순천,성인,일반,23,인바디,참가증,20190222,M
1,마포,노인,출장,75,관리자,3등급,20190222,F
1,마포,노인,출장,77,관리자,3등급,20190222,F
1,마포,노인,출장,71,관리자,3등급,20190222,F
1,마포,노인,출장,77,관리자,2등급,20190222,F
2,연수,성인,일반,58,관리자,3등급,20190222,F
4,청주,성인,일반,64,인바디,참가증,20190222,F
6,청주,노인,일반,65,인바디,3등급,20190222,F
19,청주,노인,일반,67,인바디,참가증,20190222,F
3,순천,성인,일반,42,인바디,1등급,20190222,M
14,청주,노인,일반,68,인바디,참가증,20190222,F
4,청주,노인,일반,81,인바디,2등급,20190222,F
1,남원,성인,일반,37,인바디,참가증,20190222,M
