TEST_CNT,CENTER_NM,AGE_GBN,TEST_GBN,TEST_AGE,INPUT_GBN,CERT_GBN,TEST_YMD,TEST_SEX
1,전주,성인,출장,47,관리자,참가증,20170307,M
1,달서,성인,일반,55,인바디,3등급,20170315,M
4,광산,성인,출장,30,관리자,참가증,20170323,M
7,청주,노인,일반,71,인바디,3등급,20170313,F
1,금천,성인,출장,27,관리자,3등급,20170324,F
2,창원,성인,일반,55,인바디,참가증,20170302,F
1,성동,노인,일반,66,관리자,3등급,20170322,M
2,청주,노인,일반,67,인바디,참가증,20170303,M
1,남원,청소년,출장,14,관리자,3등급,20170320,F
1,남원,청소년,출장,14,관리자,참가증,20170321,M
1,남원,청소년,출장,13,관리자,2등급,20170320,M
1,남원,청소년,출장,14,관리자,참가증,20170320,M
1,남원,청소년,출장,15,관리자,참가증,20170321,M
1,동구(광주),성인,출장,19,관리자,참가증,20170321,M
1,영동,성인,일반,19,인바디,참가증,20170321,F
1,남원,청소년,출장,14,관리자,3등급,20170320,F
2,동구(광주),성인,출장,19,관리자,3등급,20170321,M
2,영동,성인,일반,19,인바디,3등급,20170321,F
1,남원,청소년,출장,13,관리자,참가증,20170320,M
1,남원,청소년,출장,14,관리자,참가증,20170320,F
1,남원,청소년,출장,13,관리자,참가증,20170320,M
1,남원,청소년,출장,14,관리자,2등급,20170320,M
1,금천,청소년,일반,15,관리자,참가증,20170321,F
1,남원,청소년,출장,15,관리자,2등급,20170320,M
2,남원,청소년,출장,13,관리자,2등급,20170320,F
1,남원,청소년,출장,15,관리자,2등급,20170320,M
1,남원,청소년,출장,13,관리자,1등급,20170320,F
1,남원,청소년,출장,13,관리자,3등급,20170320,F
1,남원,청소년,출장,14,관리자,참가증,20170320,M
1,남원,청소년,출장,14,관리자,2등급,20170320,F
1,남원,청소년,출장,14,관리자,참가증,20170320,M
1,남원,청소년,출장,13,관리자,1등급,20170320,F
1,남원,청소년,출장,14,관리자,참가증,20170320,F
1,남원,청소년,출장,13,관리자,참가증,20170320,F
1,남원,청소년,출장,13,관리자,3등급,20170320,M
1,남원,청소년,출장,13,관리자,2등급,20170320,F
1,남원,청소년,출장,14,관리자,참가증,20170320,M
1,남원,청소년,출장,14,관리자,참가증,20170321,M
1,남원,청소년,출장,13,관리자,1등급,20170320,F
1,동구(광주),성인,일반,28,관리자,2등급,20170321,F
1,남원,청소년,출장,13,관리자,참가증,20170320,M
1,남원,청소년,출장,15,관리자,참가증,20170321,M
1,마포,성인,일반,58,관리자,참가증,20170321,F
1,순천,성인,일반,39,인바디,1등급,20170308,F
1,천안,성인,출장,57,관리자,2등급,20170308,M
1,천안,성인,출장,56,관리자,참가증,20170308,M
1,천안,성인,출장,41,관리자,참가증,20170308,M
1,천안,성인,출장,57,관리자,2등급,20170308,M
1,천안,성인,출장,48,관리자,참가증,20170308,M
1,천안,성인,출장,36,관리자,1등급,20170308,M
1,천안,성인,출장,40,관리자,참가증,20170308,M
4,곡성,성인,일반,56,관리자,참가증,20170308,F
1,강릉,성인,일반,25,인바디,1등급,20170308,M
4,목포,성인,일반,47,인바디,참가증,20170308,F
1,포항,성인,일반,57,인바디,3등급,20170308,M
1,서구(대전),성인,일반,58,관리자,참가증,20170308,F
1,화성,성인,일반,43,관리자,3등급,20170308,F
1,원주,성인,일반,55,인바디,참가증,20170308,F
1,창원,노인,일반,79,인바디,참가증,20170308,M
1,금천,성인,일반,23,관리자,참가증,20170308,F
1,순천,성인,일반,32,인바디,참가증,20170308,M
3,화성,성인,일반,51,관리자,참가증,20170308,F
1,순천,성인,일반,32,인바디,참가증,20170308,M
1,화성,성인,일반,62,관리자,참가증,20170308,F
1,서초,성인,일반,25,인바디,3등급,20170308,F
1,노원,성인,출장,49,관리자,참가증,20170308,F
1,서초,성인,일반,21,인바디,참가증,20170308,M
1,노원,성인,출장,51,관리자,참가증,20170308,F
1,동구(광주),노인,일반,76,관리자,3등급,20170308,M
1,화성,성인,일반,34,관리자,참가증,20170308,F
2,창원,성인,일반,60,인바디,참가증,20170308,F
1,순천,청소년,일반,18,인바디,참가증,20170308,F
1,순천,청소년,일반,18,인바디,참가증,20170308,F
12,성동,노인,일반,70,관리자,참가증,20170310,F
