TEST_CNT,CENTER_NM,AGE_GBN,TEST_GBN,TEST_AGE,INPUT_GBN,CERT_GBN,TEST_YMD,TEST_SEX
1,광산,성인,일반,37,관리자,참가증,20190802,M
1,연수,청소년,출장,17,관리자,참가증,20190827,F
1,연수,청소년,출장,16,관리자,2등급,20190822,M
1,연수,청소년,출장,15,관리자,참가증,20190826,F
3,영동,청소년,출장,18,관리자,참가증,20190828,F
1,연수,청소년,출장,15,관리자,2등급,20190822,M
1,연수,청소년,출장,16,관리자,2등급,20190826,F
3,영동,청소년,출장,18,관리자,참가증,20190828,F
1,연수,청소년,출장,16,관리자,3등급,20190826,F
1,연수,청소년,출장,15,관리자,참가증,20190822,M
1,연수,청소년,출장,17,관리자,참가증,20190827,F
1,연수,청소년,출장,15,관리자,참가증,20190826,F
2,KSPO송파,성인,일반,27,관리자,1등급,20190829,F
2,동작,성인,일반,47,관리자,참가증,20190829,F
1,부천,성인,일반,29,관리자,2등급,20190829,M
1,세종,청소년,출장,17,관리자,3등급,20190828,M
2,화성,성인,일반,57,관리자,2등급,20190829,M
1,KSPO송파,성인,일반,24,관리자,참가증,20190829,F
4,동작,성인,일반,38,관리자,참가증,20190829,F
1,세종,청소년,출장,17,관리자,참가증,20190828,M
14,화성,성인,일반,36,관리자,2등급,20190829,F
1,KSPO송파,성인,일반,24,관리자,3등급,20190829,F
1,서초,성인,출장,59,관리자,1등급,20190829,M
3,동작,성인,일반,39,관리자,참가증,20190829,M
1,세종,청소년,출장,17,관리자,참가증,20190828,M
2,동작,성인,일반,48,관리자,참가증,20190829,F
1,세종,청소년,출장,17,관리자,3등급,20190828,M
3,서초,성인,출장,58,관리자,1등급,20190829,F
1,사상,성인,일반,23,관리자,참가증,20190830,F
1,포항,성인,일반,44,인바디,참가증,20190830,M
1,동구(광주),성인,일반,56,관리자,참가증,20190830,F
2,동구(광주),성인,일반,22,관리자,참가증,20190830,M
1,동구(광주),성인,일반,26,관리자,3등급,20190830,F
9,동작,성인,일반,30,관리자,1등급,20190829,M
2,사상,성인,일반,35,인바디,2등급,20190829,F
1,세종,청소년,출장,17,관리자,3등급,20190828,M
2,동작,성인,일반,43,관리자,3등급,20190829,M
2,동작,성인,일반,46,관리자,2등급,20190829,M
1,남구(울산),성인,일반,23,관리자,3등급,20190829,F
1,증평,성인,일반,60,관리자,참가증,20190830,F
1,증평,성인,일반,51,관리자,참가증,20190830,F
1,연수,청소년,출장,16,관리자,참가증,20190828,F
2,스포원(금정),성인,일반,25,인바디,1등급,20190830,F
1,달서,성인,일반,23,인바디,3등급,20190830,F
1,성동,성인,일반,23,관리자,3등급,20190830,F
3,성남,청소년,출장,14,관리자,1등급,20190827,M
2,부천,성인,일반,54,관리자,3등급,20190830,F
1,남구(부산),성인,출장,49,관리자,3등급,20190830,F
1,서구(대전),성인,일반,33,관리자,1등급,20190828,M
2,성남,청소년,출장,14,관리자,참가증,20190827,M
1,KSPO송파,성인,일반,23,관리자,3등급,20190830,M
1,연수,청소년,출장,15,관리자,참가증,20190826,F
1,원주,성인,일반,26,인바디,3등급,20190830,F
1,동작,노인,출장,76,관리자,참가증,20190830,F
1,오산,노인,출장,72,관리자,참가증,20190829,F
3,사상,성인,출장,25,관리자,참가증,20190829,M
1,사하,성인,일반,24,관리자,참가증,20190829,M
3,사상,성인,출장,23,관리자,참가증,20190829,M
1,부천,성인,일반,26,관리자,3등급,20190829,M
1,오산,노인,출장,83,관리자,참가증,20190829,F
3,사상,성인,출장,20,관리자,3등급,20190829,F
1,의정부,성인,일반,27,관리자,3등급,20190829,F
3,사상,성인,출장,21,관리자,참가증,20190829,M
1,북구(광주),성인,일반,25,관리자,2등급,20190829,F
3,오산,노인,출장,75,관리자,3등급,20190829,M
1,창원,성인,일반,21,관리자,2등급,20190829,F
