분류,제목,만료날짜,참여인원
정치개혁,더불어민주당 이진련시의원의 갑질을 고발합니다.,2020-10-11,"2,188명"
정치개혁,류경기 중랑구청장과의 면담을 통해 더불어민주당 독재를 고발합니다,2020-10-11,"1,433명"
반려동물,동물입양법이 생기기를 청원합니다.,2020-10-11,789명
문화/예술/체육/언론,한반도의 국운을 상승시킬 원효 天藏秘氣處(천장비기처)를 순례코스로 만들어 주세요..,2020-10-11,137명
일자리,추가근무수당 미지급을 위해 편법을 쓰는 기업에 불이익을 줄수있는 법을 만들어 주세요,2020-10-11,632명
안전/환경,"간접흡연, 길거리흡연, 층간흡연하는 흡연자를 법적으로 강력히 처벌해주세요.",2020-10-11,"1,446명"
기타,조두순의 출소를 반대합니다.,2020-10-11,"43,717명"
안전/환경,사업주 산업안전보건교육 의무 제도 및 건축(인)허가시 산업안전보건교육 필증 교부 제도(안),2020-10-11,152명
교통/건축/국토,"분양가 상한제, 돈없는 무주택자도 집사고 싶어요.",2020-10-11,481명
교통/건축/국토,"서울, 특히 강남 및 용산 등지에 신규주택 늘리는 공급정책",2020-10-11,163명
기타,재난지원금 사각지대에 있는 요가&필라테스 센터들의 지원금을 보장해주세요,2020-10-11,372명
육아/교육,입시에 대한 대책이 필요합니다,2020-10-11,207명
기타,까페 영업규제,2020-10-11,154명
문화/예술/체육/언론,"PC방은 운영해도 되는데, 왜 운동(헬스, 요가, 필라테스, 댄스 등)하는 공간은 문을 닫아야하나요?",2020-10-11,752명
행정,2차 재난지원금 돌봄쿠폰 초중고 전체 학생들에게 지급해주세요.,2020-10-11,"1,496명"
일자리,"여당,야당 모두 지역인재(지방인재, 비수도권인재) 확대를 멈춰주십시오.",2020-10-11,285명
교통/건축/국토,주거 밀집지역에 ***** 정비공장의 인허가를 취소해 주십시오!,2020-10-11,331명
보건복지,3호선 노마스크녀 강력처벌 부탁드립니다.,2020-10-11,"2,989명"
안전/환경,공기청정기 화재로 고양이와 집을 잃었습니다 도와주세요,2020-10-11,722명
문화/예술/체육/언론,온라인 게임 ****** 개발자의 유저 기만및 부당한 수익 의혹에 대하여 청원합니다.,2020-10-11,333명
안전/환경,오토바이 소음규제와 안전운행에 대한 단속이 시급합니다.,2020-10-11,875명
교통/건축/국토,부전~마산 복선전철에 기존안대로 전동차를 투입해주세요.,2020-10-11,235명
교통/건축/국토,저희도 공동주택 관리 비리신고센터가 왜 있는지 모르겠습니다.~,2020-10-11,303명
행정,야외 운동장 개방해 주세요,2020-10-11,299명
일자리,<부정 입사자 은행권의 ‘정유라’를 정리해 주십시오>,2020-10-11,"1,746명"
교통/건축/국토,◇전주 *** 아파트 준공 지연관련◇,2020-10-11,299명
보건복지,홍성군 코로나 대응,2020-10-11,"2,604명"
기타,영세법인 여행사 지원을 간곡히 부탁 드립니다.,2020-10-11,"6,747명"
보건복지,"의대생 숫자는 10배로, 국시합격율은 현행 1/10로 해주세요",2020-10-11,"1,081명"
행정,******(****) 안에 있는 거래를 풀어주세요,2020-10-11,"1,303명"
문화/예술/체육/언론,"가짜뉴스 대만, '최고 무기형'  대한민국도 3억이상 벌금과  폐간이 가능한 징벌적 손해배상 입법이 시급합니다.",2020-10-11,"139,486명"
기타,직장내 괴롭힘을 당하면서도 글 하나 올리지 못하는 어머니를 대신하여 아들인 제가 청원합니다.,2020-10-11,707명
정치개혁,법무부 장관을 사퇴를 시키든 해임을 시키든 대통령이 나서세요!!!!!,2020-10-11,"7,596명"
외교/통일/국방,문재인은 아래 항,2020-10-11,"150,350명"
외교/통일/국방,34년만에  순직으로 인정받았지만 책임질사람도 보상도 없다.,2020-10-11,330명
행정,범죄를 조사하는 현장이 범죄의 현장이 되지 않도록 제도를 만들어 주시기를 부탁드립니다.,2020-10-11,172명
정치개혁,불법 레고랜드 강행한 정만호의 국민소통수석 임명을 반대합니다.,2020-10-11,591명
보건복지,의대생 국가고시 선발대의 실체를 조사해주세요.,2020-10-10,"60,875명"
교통/건축/국토,임대차 보호법 '왜 나는 보호받지 못하나요?',2020-10-10,"2,498명"
보건복지,초.중.고 똑같이 합시다,2020-10-10,"2,022명"
기타,중고대학생에게도 관심을 가져주세요,2020-10-10,"1,576명"
육아/교육,2차 돌봄쿠폰 전학년으로 지급하여 주시기 바랍니다.,2020-10-10,"1,106명"
교통/건축/국토,LH의 신혼희망타운 저급홍보동영상에 입주자들은 또 웁니다.,2020-10-10,766명
행정,재난지원금)중학생 고등학생도 인지해주십시요!,2020-10-10,"5,712명"
행정,불공정한 사회로부터 관련 법령의 정의 수립이 시급합니다.,2020-10-10,"1,659명"
문화/예술/체육/언론,BTS가 병역특례를 받을수 있도록 (Feat 독도경비대에서 3(4)주간 기초 군사훈련만 받도록) 해주세요,2020-10-10,"1,859명"
교통/건축/국토,아파트 잔금을 치루고도 입주하지 못하는 세대가 허다합니다,2020-10-10,398명
기타,희대의 악법인(지역주택조합)폐지를 촉구합니다.,2020-10-10,"1,514명"
보건복지,신속진단키트 지원으로 전국민 셀프 코로나검사를 진행해주세요,2020-10-10,"1,051명"
교통/건축/국토,원룸형 도시형생활주택(아파트)  주택임대사업자 등록 완화 및 대출완화요청,2020-10-10,407명
기타,**의 행태를 알리고 싶습니다. (**을 통한 사기피해자 급증에 대해서),2020-10-10,596명
기타,사회적 거리두기 2.5단계로 버틸 힘이 없는 자영업자들에게 임대료 지원과 무금리 대출이 절실합니다.,2020-10-10,"2,505명"
안전/환경,"광주광역시와 광주시교육청은 사회적거리두기 준 3단계 기간동안 부분등교를 멈추거나 학부모 재설문을 실시하여주고, 관련 지원에 대한 실질적인 도움을 주십시오.",2020-10-10,"2,254명"
안전/환경,"냄새,악취 주민고통....헌법 35조 3항 국가는 정책을 통해 국민이 쾌적한 주거생활을 할수 있도록 노력하여야 한다.",2020-10-10,"1,067명"
안전/환경,아파트 밀집 지역 cctv증설과 자동차 속도제한 청원합니다,2020-10-10,452명
육아/교육,2차 돌봄쿠폰 초중고에 지원해 주세요,2020-10-10,"1,667명"
안전/환경,한글날 광화문집회 반대를 요청드립니다.,2020-10-10,"1,759명"
기타,횡령 및 배임으로 인한 상장폐지,2020-10-10,"5,072명"
안전/환경,교통수단에서도 마스크 미착용승객은 강력히 경고해야합니다,2020-10-10,"2,225명"
성장동력,대한민국 소상공인은,2020-10-10,385명
기타,친정엄마의사고보상금을이모에게 편취를당했습다,2020-10-10,895명
기타,게임내에서 벌어지는 기업의 사기행위,2020-10-10,591명
보건복지,증증장애인특장차량 버스전용차로 운행을 허가해 주세요,2020-10-10,727명
기타,뉴 *** 구매자를 살려주세요.,2020-10-10,"1,168명"
경제민주화,3호선 마스크 미착용자 엄벌해주세요,2020-10-10,721명
인권/성평등,부럽지 않은 ****** (제조가 아닌) 죄조 직원의 현실을 바로잡아주세요,2020-10-10,867명
문화/예술/체육/언론,야구 2급전문지도자 자격요건,2020-10-10,132명
보건복지,"서울, 수도권 모든 종교의식을 온라인으로 2주간 전환하십시오.",2020-10-10,452명
행정,2차재난지원금 8ㆍ15집회 주동 및 참가자들에게 지원 반대합니다!!,2020-10-10,"1,238명"
안전/환경,개천절 집회를 막아주세요~,2020-10-10,"1,406명"
인권/성평등,민원인의 옷차림을 지적하는 건 은평구청 공무원의 갑질 행위를 처분하여 주시기 바랍니다,2020-10-10,530명
일자리,2차 재난지원금 지급에 대하여,2020-10-10,225명
기타,9월9일01시경 을왕리 음주운전 역주행으로 참변을 당한 50대 가장의 딸입니다.,2020-10-10,"639,617명"
육아/교육,유치원도 1/3 밀집도에 관한 자세한 지침 내려주세요.,2020-10-10,179명
보건복지,프랜차이즈카페 운영하고 있는 사람입니다. 제 이야기 좀 들어주세요,2020-10-10,237명
교통/건축/국토,주택청약 가점제 수정 요청합니다,2020-10-10,261명
교통/건축/국토,뻔뻔한 가해자 뺑소니 처리해주세요,2020-10-10,626명
안전/환경,"****, 코로나 시기에도 여전한 강압적인 집합 교육 실시+만능 성과주의에 대해 고발합니다",2020-10-10,175명
기타,예비신랑이 층간소음으로 폭행을 당했습니다.,2020-10-09,"12,688명"
보건복지,국민건강보험료에서 한방분야진료에 대한 보험료 분리를 청원합니다.,2020-10-09,"15,037명"
행정,수도권2단계 사회적거리두기 방역강화 기간에 서울시 ◌◌구청장의 마스크 무상 배부 정책 철회를 요구합니다.우리 대한민국 공동체의 안전을 위해 청원에 동참해 주시기를 부탁드립니다.,2020-10-09,991명
보건복지,중대본 권준욱 부본부장의 경질을 청원합니다.,2020-10-09,793명
보건복지,불공정 방대본 보도 - 공정성 요청,2020-10-09,"1,636명"
보건복지,**코로나 계엄통치반대 합니다,2020-10-09,814명
기타,증거조작으로 제 아들 구속시킨 판검사들에게 사과를 받아주세요!,2020-10-09,"4,922명"
정치개혁,가정이 있는 시민에게  새벽 1시경 협박전화한 a모 구미시의원에 대해 청원합니다!,2020-10-09,854명
안전/환경,저희아파트를 도와주십시요.,2020-10-09,575명
행정,고위험시설에 지급되는 재난지원금을 유흥주점에도 지급해주십시오.,2020-10-09,"12,372명"
보건복지,코로나19 상황에서 정부는 이익단체 의협 요구에 물러나지 말고 공공의료를  제대로 강화해야 합니다.,2020-10-09,"4,973명"
안전/환경,경제적으로 위급한 군산을 코로나로 또다시 위급상황을 만들고 있습니다.,2020-10-09,"1,961명"
행정,영업금지시킨 유흥업소의 유흥중과세를 환급해 주세요.,2020-10-09,875명
보건복지,"제 33회 요양보호사 국가시험(11월 7일)을 반드시 실시해주시고,  현장실습(대체실습)은 한시적으로만  온라인으로 전환해 주십시오.",2020-10-09,"3,186명"
행정,긴급고용안정지원금 지연문제,2020-10-09,474명
인권/성평등,"디지털 교도소 운영자, 악플러 반드시 검거하고 신상공개 해주세요",2020-10-09,545명
보건복지,민주노총집회!!!,2020-10-09,930명
교통/건축/국토,경기도 의정부시를 617조정대상지역에서 해제 바랍니다.,2020-10-09,"1,409명"
기타,만개도 채 안되어 언제나 동네북,2020-10-09,898명
기타,유흥업소 자영업자분들은 국민도 아닙니까??,2020-10-09,"2,732명"
농산어촌,공익직불제 꿀벌 농가도 포함되야 합니다.,2020-10-09,501명
교통/건축/국토,계약갱신청구권으로 개인의 재산권을 침해하지 말아 주십시오(매수인 실거주가 계약갱신청구권 거절이 안된다?),2020-10-09,"29,138명"
교통/건축/국토,임대사업자 혜택 폐지에 따른 소급 적용을 철회하고 원래대로 유지해주십시오.,2020-10-09,"3,121명"
일자리,비둘기를 아사시키는 일자리 정책을 멈춰주세요.,2020-10-09,778명
육아/교육,지나친 경쟁을 요구하는 교육 시스템이 아닌 개개인의 능력을 중시하는 교육,2020-10-09,216명
안전/환경,배달오토바이 폭주 단속에 대한 의견,2020-10-09,805명
보건복지,코로나로 형용할 수 없을 정도로 고통받고 있는 자영업자들을 위해서 임대업주들도 코로나고통 분담을 함께 나눌 수 있도록 임대료 규제를 강제해 주시길 청원합니다.,2020-10-09,419명
인권/성평등,"디지털 교도소,  눈먼 정의",2020-10-09,880명
행정,가맹거래법이 법령에 따라 지켜지도록 해주세요,2020-10-09,144명
일자리,일자리를 ****을 개선해주세요,2020-10-09,195명
보건복지,코로나 19 이제는 확진자 차단이 아니라 치료제와 백신개발로 전환에 방역포커스를 맞춰주십시오,2020-10-09,311명
교통/건축/국토,행정수도 기반조성을 위해 제4차 국가철도망사업에 세종시 정부세종청사를 경유하는 2개의 지하철 노선(대전 1호선 3호선 연장)을 모두 반영하여 건설해주세요!!,2020-10-09,132명
보건복지,"문재인 대통령님, 의사들이 환자 생명을 인질로 벌인 집단행동으로 피해 입고 상처 받은 국민과 환자들에게 사과부터 해주십시오. 재발방지 위한 제도개선도 약속해 주십시오.",2020-10-08,"1,624명"
인권/성평등,전**,2020-10-08,"2,755명"
정치개혁,부동산폭등 원흉 김현미 국토부장관 즉각 해임하십시오,2020-10-08,"7,372명"
행정,여의사로부터 갑질과 직장내 괴롭힘 부당해고를 당했습니다 제 억울함을 들어주세요,2020-10-08,756명
정치개혁,소위 塵人 조은산 왈 이른바 시무7조에 대한 교시,2020-10-08,893명
기타,현직 검사의 뒷 배경으로 행정기관과 경찰 위에서 군림하는 자를 벌하여 주세요.,2020-10-08,"1,448명"
보건복지,"그룹홈 원장, 위계에 의한 아동 성추행 및 가스 라이팅, 스톡홀름 증후군과 법정 카르텔을 신고합니다",2020-10-08,794명
정치개혁,행안위 국회의원에 대한 경찰의 봐주기 수사를 엄단해야 합니다!,2020-10-08,755명
정치개혁,경기도의 공정세상이 뭔가 이상하네요,2020-10-08,"3,437명"
교통/건축/국토,평택 조정지역 해제 강력히 요청드립니다.,2020-10-08,785명
행정,통일성 있는 재난 대피 행동을 위해 '재난 경보가 있을 시 기업 재택근무 또는 재난 휴가'를 쓸수 있도록 해주세요.,2020-10-08,187명
문화/예술/체육/언론,전자출판물 시장을 위한 도서정가제 개정을 청원합니다.,2020-10-08,"18,786명"
기타,수수료 매장의 재난 지원금과 영업 시간 단축을 요청합니다,2020-10-08,"2,073명"
기타,취업을 빙자한 부동산 기망행위,2020-10-08,277명
기타,4개월동안 합숙하면서 지속적으로 폭행한 두 과외선생님을 구속시켜주세요.,2020-10-08,"2,057명"
교통/건축/국토,옥정신도시 유보지2 부지 공동주택용지 변경계획을 멈처주십시오.  ​,2020-10-08,433명
안전/환경,제발 추석연휴 지역간 이동 제한 해주세요,2020-10-08,"3,260명"
기타,희대의 악법인《지역주택조합법》 폐지를촉구합니다,2020-10-08,"1,267명"
보건복지,의사고시 거부 전공의에게 영원히 시험 응시자격을 불허해주십시요,2020-10-08,"2,033명"
경제민주화,집합금지명령 업종에 현실적인 보상 의견입니다.,2020-10-08,501명
행정,탁구장은 체육시설이 아닙니다.,2020-10-08,427명
안전/환경,정부의 빠른 탈석탄 정책과 정확한,2020-10-08,"9,555명"
기타,운영정지를 당한 자영업자의 5가지 요구사항,2020-10-08,225명
경제민주화,주택 투기수요 근절 및 지속적 주택가격 안정의 획기적 방안 마련,2020-10-08,184명
육아/교육,지자체이관 절대 해서는 안됩니다.,2020-10-08,"2,541명"
보건복지,의료소비자로서 의사를 선택하여 진료받을 수 있도록 제도를 만들어 주세요,2020-10-08,435명
보건복지,다시는 국민의,2020-10-08,"1,394명"
보건복지,권역별국립감염병전문병원설립운영(1000병상 규모 6곳 등),2020-10-08,233명
반려동물,어린아이여도 이건 엄연한 동물 학대입니다,2020-10-08,"19,271명"
교통/건축/국토,방역 택시가 철저한 방역을 하기 위해서 공항 택시 대기장에서 방역을 했는데 운영 규칙 위반이라면서 30일간  택시 이용시설 이용제한 조치를 당했다면 어떻게 생각하십니까?,2020-10-07,389명
인권/성평등,낙태전면허용하겠다는 추미애장관 경질시켜주세요,2020-10-07,"10,639명"
문화/예술/체육/언론,생계딱 끊어버리고 고정지출을 어찌감당하라는 겁니까.,2020-10-07,"2,166명"
문화/예술/체육/언론,문재인 정권을 지지합니다-언론을 개혁해 주십시오,2020-10-07,"2,286명"
행정,"연장 하려면 정부 당국자,국회의원도 월급,세비 반납하고 자영업자와 고통 분담해야 됩니다",2020-10-07,"1,755명"
육아/교육,조두순 '출소 당일 얼굴 공개'해 주세요,2020-10-07,"8,601명"
기타,415총선 재검표 증거보전신청 및 무효소송 지역의 재검표를 촉구합니다,2020-10-07,"1,998명"
교통/건축/국토,무주택 서민의 꿈을 빼앗아간 최춘식 의원(국민의힘)의 처벌을 요구합니다!,2020-10-07,"1,500명"
정치개혁,투표는 국민 주권의 상징입니다 재검표 부탁드립니다,2020-10-07,"3,138명"
정치개혁,폐하 이제 그만 양위하시옵소서,2020-10-07,"12,458명"
정치개혁,대통령 공약마저 파기하는 무능한 김현미 국토부 장관을 경질해 주세요,2020-10-07,"5,247명"
정치개혁,방역방해 ** 집단 ‘국민의힘’(구. 미래통합당) 해산을 청원합니다,2020-10-07,"1,918명"
인권/성평등,황제병사 직속부대에서 일어난 간부들의 폭언과 욕설 행위를 폭로합니다.,2020-10-07,585명
보건복지,정부와 서울시는 대한성공회에서 용역을 맡아 복지센터와 복지관을 회수하고 전폭적으로 복지자금을 전수조사 하여 횡령혐의로 구속시켜주세요.,2020-10-07,324명
육아/교육,긴급돌봄 아동에게도 정규수업을 받을 기회를 제공해주세요.,2020-10-07,380명
교통/건축/국토,대통령과 국토부장관에게  고합니다,2020-10-07,653명
경제민주화,공매도 금지기간_ 대량 공매도: Ex)**** 9/1~9/3 공매 105억원,2020-10-07,"1,152명"
성장동력,'노면 색깔 유도선'최초제안자 한국도로공사 윤**차장님께 대통령상을 주세요!!,2020-10-07,779명
행정,문재인 대통령님 말씀하신 10년공공임대 수정 공약에 대한 답변을 해주세요.,2020-10-07,418명
일자리,코로나19로 인한 영업정지건에 대해서는 건물주들도 그에 맞는 자릿세를 안 받게 해주세요,2020-10-07,662명
경제민주화,한국거래소의 뉴딜지수에 ********는 제외해 주세요.,2020-10-07,535명
보건복지,본인 동의도 없이 저에 생명을 담보로 정부와 협상하는 의사들을 엄중하고  엄정한 처벌을 해 주십시요,2020-10-07,"2,246명"
외교/통일/국방,BTS와 e스포츠 세계선수권에서 우승한 우리에 청년들에게 병역 면제를 정식으로 청원합니다.,2020-10-07,"1,750명"
기타,얼마전 카카오톡으로 재테크 리딩사기 사건을 당하였습니다.,2020-10-07,543명
육아/교육,코로나 3단계에 준하는 단계에서 유치원 원비를 내고 있는 상황을 눈물로 호소합니다.,2020-10-07,471명
보건복지,동네 작은 프랜차이즈 커피숍 점주입니다.,2020-10-07,"1,426명"
보건복지,항암치료를 맡은  의사들은 병원으로 돌아가세요!,2020-10-07,568명
육아/교육,3단계 바로가던지 일선 중소보습학원 좀더 숙고해주세요,2020-10-07,557명
교통/건축/국토,연속된 장마 등 기상 악화로 인한 건설 현장의 공사 기간 연장을 검토해 주십시오.,2020-10-07,385명
보건복지,전공의에 대한 고발 철회를 반대합니다.,2020-10-07,"1,448명"
보건복지,국민의 인권과 생명을 담보로 한 의사들의 집단 파업을 강력히 규제해 주시기를 청원합니다.,2020-10-07,"2,300명"
보건복지,이번 합의와 상관없이 진료거부에 참가한 모든 전공의와 의사에 대한 강력한 처벌을 요구합니다.,2020-10-07,"2,771명"
행정,학원과 독서실에 대해서는 사회적 거리두기 2단계로 하향 조정해 주시기를 바랍니다,2020-10-07,404명
성장동력,한국 과학기술발전에 도움되지 않는 한전공대 설립을 중단해주십시오,2020-10-07,542명
행정,퍼스널트레이닝은 마트나 식당보다도 더 방역이 잘되고 있고 1시간동안 20평 이상의 규모에서 두 사람만 공유합니다.,2020-10-07,327명
문화/예술/체육/언론,각 시도 무형문화재 전국 통합 운영,2020-10-07,514명
기타,사회적 거리두기 2.5 조치로 영업 중지 중인 체육시설업 생계유지 지원 요청,2020-10-07,"1,781명"
보건복지,최대집 의협회장의 탄핵을 반대합니다,2020-10-07,323명
행정,"죽을 위기에 놓인 소상공인들을 위한 대책마련, 제발 부탁드립니다.",2020-10-07,311명
인권/성평등,지난 8월 30일 제주도 민속오일장 인근 30대여성 살인사건의 피해자 아버지입니다.,2020-10-07,"62,266명"
안전/환경,각종 자격증 및 시험일정 연기를 간곡히 부탁드립니다,2020-10-07,189명
안전/환경,코로나19  잠식될때까지 집합집회를 모두 금지해주세요!!,2020-10-07,"1,133명"
보건복지,코로나19 치료제 임상실험 기회를 주십시요 현재 국내에는 치료제가 존재할 가능성이 있습니다.,2020-10-07,325명
보건복지,공동주택 코로나 예방 및 방역대책 강화 요청,2020-10-07,136명
일자리,실내운동업계 코로나 2.5단계 보상에 대해서 청원합니다,2020-10-07,"1,290명"
보건복지,실내체육시설 자영업자들은 손가락을 빨고 살라는 건가요?,2020-10-07,768명
육아/교육,2021학년도 수시 예체능 실기시험를 미뤄주세요,2020-10-07,268명
행정,2020.10.03 개천철 집회 반대 건은 청원 드립니다. 제2의 8.15 코로나 확산 사태는 막아야 합니다.,2020-10-07,"1,249명"
보건복지,형평성 있는 사회적 거리두기 시행 부탁 드립니다.,2020-10-07,277명
보건복지,건강보험료 인상 보다 는 낭비를 줄입시다,2020-10-07,499명
보건복지,스터디카페 의 정상 영업을 요청합니다,2020-10-07,332명
안전/환경,9월28일/29일 임시공휴일 지정하고 대통령께서 직접 추석 귀경 및 이동 자제 호소하여 코로나 제압해 주세요,2020-10-07,"1,016명"
인권/성평등,미성년자 성범죄 제발 처벌 강화해주세요.,2020-10-07,"1,163명"
문화/예술/체육/언론,코로나로 고통받는 자영업자들에게 현실적인 방안을 검토해주세요,2020-10-07,265명
보건복지,수도권 지역의 독서실 스터디카페 집합금지 명령을 해제해주시길 바랍니다,2020-10-07,"1,063명"
보건복지,개천절 광화문 집회를 필사적으로 막아주십쇼!!,2020-10-07,"1,518명"
기타,취객이 주먹 휘둘러서 제압한  소방관 억울하죠,2020-10-07,860명
기타,유튜브 *** 채널 삭제,2020-10-07,453명
교통/건축/국토,10월 3일 서울광장 광화문광장 경찰차 주차해주세요~,2020-10-07,312명
안전/환경,추석연휴때  집합명령금지 명령 부탁드립니다.,2020-10-07,"1,711명"
안전/환경,개천절 집회는 무조건 안될일입니다.,2020-10-07,796명
정치개혁,절망에 빠진 청년과 미래세대를 구렁텅이에서 구해 주십시요,2020-10-07,"2,020명"
안전/환경,"개천절 보수단체 집회를 강행한다면,  관련자 엄벌해 주시기 바랍니다.",2020-10-07,"1,134명"
보건복지,10월 3일 개천절 집회를 막아주세요,2020-10-07,"5,006명"
문화/예술/체육/언론,BTS 군면제 청원합니다,2020-10-07,781명
인권/성평등,폭행당한 소방관 제압하며 상해 입히면 상해죄??,2020-10-07,942명
기타,국민을 안심시켜 주세요,2020-10-07,182명
보건복지,외국처럼 전문간호사에게 처방권을 주세요. 그럼 지역의료 공백과 의사들의 파업에도 국민들의 불안이 덜해질 것 같습니다.,2020-10-07,686명
기타,"""제주판 살인의 추억""이라고 불리는 사건을 아시나요?",2020-10-07,"9,829명"
행정,9시에 영업종료면 불공평한 자영업자들이 너무 많습니다,2020-10-07,564명
인권/성평등,일간베스트 사이트를 폐쇄해주세요,2020-10-07,"13,040명"
기타,"자영업자만 죽어 나가는 K 방역의 현주소, 과연 이게 옳은 방역 방침입니까",2020-10-07,930명
경제민주화,억울하게 영업중단을 당한 자영업자들이 중단을 당한 기일동안의 임대료를 안내도 되는 명령을 내려주세요.,2020-10-07,248명
안전/환경,빨리 한강시민공원도 단속해주세요 코로나 19에 취약 합니다,2020-10-07,347명
보건복지,의무기록 조작과 영상촬영 왜곡으로 의사의 잘못 된 진료와 수술을 야기하고 신체 훼손하여 '의료사고를 빙자 한 흉악범죄 가중처벌법'을 촉구합니다.,2020-10-07,555명
교통/건축/국토,코로나19 관련 특별재난 임대료 감면 제도를 청원합니다,2020-10-07,415명
인권/성평등,성인지 감수성으로 인한 법조계에서 부실하고 불공정한 현 사회적 분위기에 대해 알고 계십니까,2020-10-07,172명
행정,제조업 창업자 호소문 (대통령님 면담하면 일자리를 1년에 1만개 이상 만들수 있는 정책을 말씀 드리겠습니다),2020-10-07,141명
행정,소상공인과 자영업자에게 2차긴급 대출을 진행하여 주십시오!,2020-10-07,"1,046명"
보건복지,"학원은 1명 수업도 금지, 교습소는 9명 수업도 허용하는 지침으로 현장에선 코로나의 위험성이 더욱 커지게 되었습니다.",2020-10-07,522명
육아/교육,유치원비를 환불조정해주세요.,2020-10-07,309명
경제민주화,"주식 양도세 폐지. (기관, 외인, 개인 평등하게 과세합시다.)",2020-10-07,"5,715명"
안전/환경,국토부의 **코리아 자동차 인증을 다시 검토해주세요.,2020-10-07,220명
보건복지,전**,2020-10-07,514명
보건복지,추석연휴 이동금지령 과 사회적거리두기3단계 로 코로나19  재확산을 막아주세요,2020-10-07,"2,834명"
반려동물,동물보호법 전면개정을 촉구합니다,2020-10-07,"1,683명"
기타,*** 이용시 주의하세요,2020-10-07,125명
보건복지,10월 3일 추가집회를 법적으로 금지시켜주세요,2020-10-07,"13,858명"
인권/성평등,디지털교도소를 차단·폐쇄해주시기를 부탁드립니다.,2020-10-07,437명
교통/건축/국토,콘도 지분 0.01평이 단독주택이기 때문에 두 주택자라는 것이 말이 됩니까?,2020-10-04,534명
육아/교육,우즈베키스탄  학생들을 울리며 등록금을 돌려주지 않은 **전문학교 김**을  고발합니다 (제발 등록금을 돌려받게 해주십시요),2020-10-04,902명
육아/교육,대한 아이스하키 협회의 의심스러운 서류 발급에 대하여,2020-10-04,267명
안전/환경,춘천 의암호 사고를 잊은 **군수를 처벌해주세요.,2020-10-04,"1,559명"
행정,서울시 지하철 상가 임대료 삭감 청원,2020-10-04,"1,304명"
정치개혁,재검표는 대법원의 고유 권한이다,2020-10-04,"1,366명"
인권/성평등,장애인 밥먹는 것만 봐도 토 나오는 ㅇㅇ시장애인체육회 간부의 만행에 대한 제대로 된 처벌을 바랍니다. 도와주세요.,2020-10-04,"1,799명"
정치개혁,판사집단을 괴물로 키운 2003년 판사 면책특권 판례의 개정을 청원합니다.,2020-10-04,"8,030명"
보건복지,2차 재난지원금을 모두에게 선별 없이 지급해주세요.,2020-10-04,"29,203명"
보건복지,의료4법 철폐와 의료제도를 혁신하여 주십시요,2020-10-04,"1,216명"
안전/환경,코로나 확진자가 무자비하게 증가함에도 불가하고 대면 수업을 하려 하는 **대를 막아주세요,2020-10-04,395명
정치개혁,"문재인 대통령님,가수 ***씨 폭행 사건 다시 수사해주세요 .ㅠ",2020-10-04,642명
보건복지,옆 교회로 인한 피해상황,2020-10-04,704명
교통/건축/국토,소외된 경기북부  양주시  조정대상지역의  해제 부탁합니다,2020-10-04,"4,400명"
행정,학원 강제휴업 보상을 원합니다. 그리고 2.5단계에서 혹은 3단계로 격상해도 10명이내로 수업하게 해주세요.,2020-10-04,"27,605명"
교통/건축/국토,2019년 9월 PD수첩 화곡동 갭투자로 인한 신축빌라 전세사기 그후  강서구에서 또한번 ...( 남의 일이 아니었습니다 ),2020-10-04,390명
행정,코인노래방을 고위험시설에서 제하여 타 업종과 동 시점에 해제명령을 내려주십시오.,2020-10-04,468명
경제민주화,"변종공매도 시세조종, **금융투자 압수수색을 요청합니다.",2020-10-04,"26,495명"
보건복지,모든 복지관에 간호사를 필수 인력으로 배치해 주세요,2020-10-04,383명
문화/예술/체육/언론,"문재인 대통령님, BTS에게 병역면제의 길을 열어주세요.",2020-10-04,"2,836명"
보건복지,자영업자를 도미노처럼 무너뜨리고 있는 사회적거리두기 단계별 시행 멈춰주십시오.,2020-10-04,"1,860명"
행정,2차재난지원금 선별지급을 반대합니다,2020-10-04,"5,606명"
행정,청년내일채움 코로나19 사태로 인한 단축근무 인정을 청원합니다.,2020-10-04,122명
보건복지,코로나 사회적거리두기 2.5단계 기준의 형평성,2020-10-04,913명
기타,보이스피싱을 당해서 고통받고 있는 50대 가장입니다,2020-10-04,418명
경제민주화,주식시장에서 불법 변종 공매도를 금지시켜 주세요,2020-10-04,"1,901명"
기타,노래방 자영업자들 너무너무 힘듭니다,2020-10-04,699명
육아/교육,2020학년도 2학기 전국 중간고사 취소,2020-10-04,653명
교통/건축/국토,"정부출연기관인 한국철도기술연구원, 이래서야 되겠습니까!",2020-10-03,246명
일자리,법무부장관의 검찰수사관 신규채용 중단 발언에 심히 우려를 표합니다.,2020-10-03,"6,546명"
정치개혁,재검표 조속히 실시하라,2020-10-03,"10,142명"
정치개혁,전**,2020-10-03,"1,138명"
보건복지,전공의 등 의사들이 떠난 의료현장을 묵묵히 지키고 있는 의사들에 대한 사과를 요구합니다.,2020-10-03,"2,489명"
보건복지,국민의 생명을 의사들이 가지고 놀지 못하도록 해주세요.,2020-10-03,"2,242명"
기타,최대집씨가 회장으로 있는 대한의사협회의 해체를 요구합니다!,2020-10-03,"4,598명"
보건복지,의료 파업으로 인해 폐 암 수술을 받지 못하고 있는 아버지를 도와주세요.,2020-10-03,"1,672명"
