"201805","경기부천소사경찰서",119,14,16,20,22,14,16,17,16,6,3,2,1,1,6,3,4,4,5,8,6,6,7,11,3,2,5,8,2,4,2,4,96,2,11,1,3,1,1,0,0,0,0,4
"201805","경기부천오정경찰서",63,9,13,7,9,11,6,8,8,1,2,2,1,1,0,2,3,2,6,2,1,6,0,4,2,0,4,2,6,4,2,2,49,1,4,0,3,1,0,0,1,0,0,4
"201805","경기부천원미경찰서",305,42,43,45,41,49,41,44,31,7,11,7,7,5,4,10,7,8,10,14,14,13,11,13,14,25,17,19,25,5,18,10,242,6,16,4,12,9,6,1,0,0,0,9
"201805","경기분당경찰서",191,21,21,32,33,28,31,25,37,5,1,2,5,2,2,5,5,4,8,7,8,11,6,9,9,14,8,8,7,8,10,10,128,10,7,0,23,6,8,0,4,0,0,5
"201805","경기성남수정경찰서",117,12,10,25,29,16,15,10,18,3,4,5,6,1,4,9,4,3,6,1,3,5,7,4,4,2,9,3,6,4,4,2,74,3,10,11,11,4,0,0,0,0,0,4
"201805","경기성남중원경찰서",146,23,24,27,22,22,13,15,26,6,8,4,4,4,2,1,4,5,4,10,8,2,5,8,6,6,5,6,7,3,6,6,97,3,8,3,23,4,5,0,1,0,0,2
"201805","경기수원남부경찰서",252,38,33,42,35,35,32,37,37,10,9,9,10,7,5,5,4,11,9,11,11,15,11,6,12,13,10,10,6,11,10,10,206,13,7,2,9,6,1,0,0,0,0,8
"201805","경기수원서부경찰서",192,33,18,32,25,34,24,26,21,7,7,3,7,2,5,2,4,4,4,9,8,9,4,10,9,10,17,12,12,8,6,12,148,2,10,4,9,6,0,0,9,0,0,4
"201805","경기수원중부경찰서",212,28,30,35,32,33,33,21,17,4,6,7,0,5,1,9,7,10,6,8,18,13,11,7,10,15,7,14,7,13,8,9,180,11,4,6,5,5,0,0,0,0,0,1
"201805","경기시흥경찰서",223,22,32,37,35,34,31,32,41,13,10,8,8,2,5,4,4,7,10,9,8,5,6,13,6,11,7,7,9,10,13,7,155,12,10,2,31,6,1,0,0,2,0,4
"201805","경기안산단원경찰서",317,50,39,45,41,38,52,52,33,15,23,16,8,10,6,10,8,9,8,9,8,14,14,10,19,15,17,15,8,11,16,15,237,9,18,10,15,20,0,0,0,0,0,8
