,년도,광역,기초,경찰서,연령,발생건수,가구수,발생율,범죄피해율
383,2017,경남,하동군,경남하동경찰서,16~20세,18,18,100.0,100000.0
384,2017,경남,하동군,경남하동경찰서,21~30세,43,232,18.53,18534.48
385,2017,경남,하동군,경남하동경찰서,31~40세,65,315,20.63,20634.92
386,2017,경남,하동군,경남하동경찰서,41~50세,130,532,24.44,24436.09
387,2017,경남,하동군,경남하동경찰서,51~60세,179,1184,15.12,15118.24
388,2017,경남,하동군,경남하동경찰서,61~세,171,4303,3.97,3973.97
389,2017,경남,함안군,경남함안경찰서,16~20세,38,21,180.95,180952.38
390,2017,경남,함안군,경남함안경찰서,21~30세,85,384,22.14,22135.42
391,2017,경남,함안군,경남함안경찰서,31~40세,173,707,24.47,24469.59
392,2017,경남,함안군,경남함안경찰서,41~50세,254,1031,24.64,24636.28
393,2017,경남,함안군,경남함안경찰서,51~60세,334,1712,19.51,19509.35
394,2017,경남,함안군,경남함안경찰서,61~세,232,4770,4.86,4863.73
395,2017,경남,함양군,경남함양경찰서,21~30세,55,180,30.56,30555.56
396,2017,경남,함양군,경남함양경찰서,31~40세,71,280,25.36,25357.14
397,2017,경남,함양군,경남함양경찰서,41~50세,129,526,24.52,24524.71
398,2017,경남,함양군,경남함양경찰서,51~60세,132,1023,12.9,12903.23
399,2017,경남,함양군,경남함양경찰서,61~세,150,4134,3.63,3628.45
400,2017,경남,합천군,경남합천경찰서,21~30세,39,197,19.8,19796.95
401,2017,경남,합천군,경남합천경찰서,31~40세,70,250,28.0,28000.0
402,2017,경남,합천군,경남합천경찰서,41~50세,111,501,22.16,22155.69
403,2017,경남,합천군,경남합천경찰서,51~60세,135,1147,11.77,11769.83
404,2017,경남,합천군,경남합천경찰서,61~세,185,5675,3.26,3259.91
405,2017,경북,경산시,경북경산경찰서,16~20세,432,1373,31.46,31463.95
406,2017,경북,경산시,경북경산경찰서,21~30세,1121,10064,11.14,11138.71
407,2017,경북,경산시,경북경산경찰서,31~40세,906,5433,16.68,16675.87
408,2017,경북,경산시,경북경산경찰서,41~50세,1042,4788,21.76,21762.74
409,2017,경북,경산시,경북경산경찰서,51~60세,942,4957,19.0,19003.43
410,2017,경북,경산시,경북경산경찰서,61~세,642,9322,6.89,6886.93
411,2017,경북,경주시,경북경주경찰서,16~20세,302,826,36.56,36561.74
412,2017,경북,경주시,경북경주경찰서,21~30세,783,5950,13.16,13159.66
413,2017,경북,경주시,경북경주경찰서,31~40세,917,3679,24.93,24925.25
414,2017,경북,경주시,경북경주경찰서,41~50세,1258,4387,28.68,28675.63
415,2017,경북,경주시,경북경주경찰서,51~60세,1266,6159,20.56,20555.28
416,2017,경북,경주시,경북경주경찰서,61~세,985,14677,6.71,6711.18
417,2017,경북,고령군,경북고령경찰서,16~20세,18,5,360.0,360000.0
418,2017,경북,고령군,경북고령경찰서,21~30세,27,152,17.76,17763.16
419,2017,경북,고령군,경북고령경찰서,31~40세,54,243,22.22,22222.22
420,2017,경북,고령군,경북고령경찰서,41~50세,124,477,26.0,25995.81
421,2017,경북,고령군,경북고령경찰서,51~60세,141,922,15.29,15292.84
422,2017,경북,고령군,경북고령경찰서,61~세,111,2524,4.4,4397.78
423,2017,경북,구미시,경북구미경찰서,16~20세,722,902,80.04,80044.35
424,2017,경북,구미시,경북구미경찰서,21~30세,2218,11634,19.06,19064.81
425,2017,경북,구미시,경북구미경찰서,31~40세,2454,12475,19.67,19671.34
426,2017,경북,구미시,경북구미경찰서,41~50세,2223,8288,26.82,26821.91
427,2017,경북,구미시,경북구미경찰서,51~60세,1673,6963,24.03,24027.0
428,2017,경북,구미시,경북구미경찰서,61~세,786,9117,8.62,8621.26
429,2017,경북,군위군,경북군위경찰서,21~30세,22,109,20.18,20183.49
430,2017,경북,군위군,경북군위경찰서,31~40세,42,145,28.97,28965.52
431,2017,경북,군위군,경북군위경찰서,41~50세,70,271,25.83,25830.26
432,2017,경북,군위군,경북군위경찰서,51~60세,82,691,11.87,11866.86
433,2017,경북,군위군,경북군위경찰서,61~세,94,2676,3.51,3512.71
434,2017,경북,김천시,경북김천경찰서,16~20세,126,189,66.67,66666.67
435,2017,경북,김천시,경북김천경찰서,21~30세,331,2453,13.49,13493.68
436,2017,경북,김천시,경북김천경찰서,31~40세,428,2073,20.65,20646.41
437,2017,경북,김천시,경북김천경찰서,41~50세,535,2015,26.55,26550.87
438,2017,경북,김천시,경북김천경찰서,51~60세,579,2955,19.59,19593.91
439,2017,경북,김천시,경북김천경찰서,61~세,475,8089,5.87,5872.17
440,2017,경북,문경시,경북문경경찰서,16~20세,65,32,203.12,203125.0
441,2017,경북,문경시,경북문경경찰서,21~30세,127,422,30.09,30094.79
442,2017,경북,문경시,경북문경경찰서,31~40세,198,651,30.41,30414.75
443,2017,경북,문경시,경북문경경찰서,41~50세,290,931,31.15,31149.3
444,2017,경북,문경시,경북문경경찰서,51~60세,337,1600,21.06,21062.5
445,2017,경북,문경시,경북문경경찰서,61~세,324,5939,5.46,5455.46
446,2017,경북,봉화군,경북봉화경찰서,21~30세,17,112,15.18,15178.57
447,2017,경북,봉화군,경북봉화경찰서,31~40세,38,197,19.29,19289.34
448,2017,경북,봉화군,경북봉화경찰서,41~50세,70,365,19.18,19178.08
449,2017,경북,봉화군,경북봉화경찰서,51~60세,90,837,10.75,10752.69
450,2017,경북,봉화군,경북봉화경찰서,61~세,92,3268,2.82,2815.18
451,2017,경북,상주시,경북상주경찰서,16~20세,90,108,83.33,83333.33
