TEST_CNT,CENTER_NM,AGE_GBN,TEST_GBN,TEST_AGE,INPUT_GBN,CERT_GBN,TEST_YMD,TEST_SEX
1,순천,청소년,일반,18,인바디,참가증,20180503,F
5,곡성,노인,일반,75,관리자,3등급,20180504,F
3,포항,청소년,출장,17,관리자,참가증,20180508,M
1,달서,노인,출장,66,관리자,참가증,20180531,M
1,마포,청소년,출장,15,관리자,참가증,20180506,F
1,사상,청소년,출장,13,관리자,참가증,20180502,F
1,영동,노인,출장,71,관리자,참가증,20180526,M
2,전주,청소년,출장,17,관리자,3등급,20180524,F
6,곡성,성인,출장,63,관리자,참가증,20180528,F
3,세종,성인,일반,42,인바디,3등급,20180517,F
1,성남,성인,출장,27,관리자,참가증,20180510,M
1,원주,성인,일반,23,인바디,참가증,20180510,M
1,원주,청소년,출장,13,관리자,3등급,20180509,F
1,포항,청소년,출장,15,관리자,2등급,20180510,M
1,마포,성인,출장,24,관리자,참가증,20180510,M
1,남구(부산),청소년,출장,16,관리자,3등급,20180510,M
1,원주,청소년,출장,13,관리자,참가증,20180509,F
1,마포,성인,출장,23,관리자,참가증,20180510,F
1,마포,성인,출장,21,관리자,참가증,20180510,F
1,포항,청소년,출장,16,관리자,참가증,20180510,M
1,포항,청소년,출장,16,관리자,참가증,20180510,M
1,오산,노인,출장,75,관리자,참가증,20180510,F
1,원주,청소년,출장,17,관리자,3등급,20180502,M
11,남원,성인,일반,32,관리자,참가증,20180502,M
1,원주,청소년,출장,17,관리자,참가증,20180502,M
1,원주,청소년,출장,17,관리자,3등급,20180502,M
1,원주,청소년,출장,17,관리자,3등급,20180502,M
1,원주,청소년,출장,17,관리자,참가증,20180502,M
3,천안,청소년,출장,15,관리자,2등급,20180501,M
1,순천,청소년,일반,18,인바디,참가증,20180503,F
1,원주,청소년,출장,17,관리자,참가증,20180503,M
1,순천,청소년,일반,18,인바디,참가증,20180503,F
4,천안,청소년,출장,15,관리자,2등급,20180501,M
1,순천,청소년,일반,18,인바디,참가증,20180503,M
1,사상,청소년,출장,14,관리자,참가증,20180502,F
1,연수,청소년,출장,13,관리자,1등급,20180501,M
1,순천,청소년,일반,18,인바디,참가증,20180503,M
1,원주,청소년,출장,17,관리자,3등급,20180503,M
1,순천,청소년,일반,18,인바디,참가증,20180503,M
2,천안,청소년,출장,14,관리자,3등급,20180501,F
1,순천,청소년,일반,18,인바디,3등급,20180503,F
1,사상,청소년,출장,13,관리자,참가증,20180502,F
1,원주,청소년,출장,17,관리자,참가증,20180503,M
1,순천,청소년,일반,16,인바디,참가증,20180503,F
1,순천,성인,일반,20,인바디,참가증,20180503,F
1,순천,청소년,일반,18,인바디,참가증,20180503,F
1,원주,청소년,출장,18,관리자,참가증,20180503,M
1,사상,청소년,출장,14,관리자,참가증,20180502,F
1,금천,성인,일반,48,관리자,참가증,20180503,F
1,순천,성인,일반,19,인바디,참가증,20180503,M
1,연수,성인,일반,28,관리자,참가증,20180503,M
1,순천,성인,일반,20,인바디,참가증,20180503,M
1,사상,청소년,출장,14,관리자,3등급,20180502,F
1,원주,청소년,출장,18,관리자,참가증,20180503,M
1,KSPO송파,성인,일반,38,인바디,참가증,20180503,F
1,금천,성인,일반,45,관리자,참가증,20180503,F
1,원주,청소년,출장,18,관리자,참가증,20180503,M
4,천안,청소년,출장,15,관리자,참가증,20180501,M
1,오산,성인,일반,48,인바디,2등급,20180503,F
1,사상,청소년,출장,13,관리자,3등급,20180502,F
1,사상,청소년,출장,14,관리자,참가증,20180502,F
1,원주,청소년,출장,18,관리자,참가증,20180503,M
1,사상,청소년,출장,15,관리자,3등급,20180502,M
1,금천,성인,일반,24,관리자,참가증,20180503,M
1,천안,청소년,출장,13,관리자,3등급,20180502,M
1,금천,성인,일반,24,관리자,참가증,20180503,M
1,사상,청소년,출장,14,관리자,3등급,20180502,F
1,사상,청소년,출장,14,관리자,참가증,20180502,M
1,사상,청소년,출장,15,관리자,3등급,20180502,F
1,사상,청소년,출장,14,관리자,참가증,20180502,F
1,사상,청소년,출장,15,관리자,참가증,20180502,F
1,사상,청소년,출장,15,관리자,참가증,20180502,M
1,사상,청소년,출장,14,관리자,2등급,20180502,M
1,사상,청소년,출장,15,관리자,참가증,20180502,M
2,KSPO송파,성인,일반,26,인바디,참가증,20180503,F
1,성남,성인,일반,50,인바디,참가증,20180503,F
1,성남,노인,일반,75,인바디,2등급,20180503,F
1,달서,노인,일반,68,인바디,3등급,20180503,F
1,성남,노인,일반,76,인바디,3등급,20180503,F
1,안동,성인,일반,42,관리자,참가증,20180503,F
1,목포,성인,일반,22,관리자,참가증,20180503,F
1,달서,성인,일반,33,인바디,참가증,20180503,F
1,달서,성인,일반,63,인바디,참가증,20180503,F
1,서구(대전),노인,출장,71,관리자,3등급,20180503,M
1,서초,성인,일반,55,인바디,참가증,20180503,M
6,제주,성인,일반,28,관리자,참가증,20180503,F
1,동작,노인,일반,73,관리자,참가증,20180503,M
1,KSPO송파,성인,일반,55,관리자,1등급,20180503,F
1,성남,성인,일반,20,인바디,참가증,20180503,F
2,금천,성인,일반,45,관리자,참가증,20180503,F
1,순천,청소년,일반,18,인바디,3등급,20180503,F
2,성동,성인,일반,63,관리자,참가증,20180503,F
1,동구(광주),성인,출장,42,관리자,참가증,20180503,F
1,동구(광주),성인,출장,26,관리자,참가증,20180503,M
1,동구(광주),성인,출장,23,관리자,참가증,20180503,F
2,오산,성인,출장,36,관리자,3등급,20180508,M
3,포항,청소년,출장,17,관리자,참가증,20180508,M
3,오산,성인,출장,59,관리자,참가증,20180508,F
3,포항,청소년,출장,17,관리자,2등급,20180508,M
2,오산,성인,출장,52,관리자,참가증,20180508,M
3,포항,청소년,출장,17,관리자,참가증,20180508,M
1,오산,성인,출장,26,관리자,참가증,20180508,M
1,오산,성인,출장,30,관리자,참가증,20180508,M
1,포항,청소년,출장,17,관리자,참가증,20180508,M
1,오산,성인,출장,64,관리자,3등급,20180508,M
1,오산,성인,출장,22,관리자,참가증,20180508,M
1,오산,성인,출장,58,관리자,3등급,20180508,M
1,남구(부산),청소년,출장,15,관리자,참가증,20180508,M
1,남구(부산),청소년,출장,16,관리자,참가증,20180508,M
1,남구(부산),청소년,출장,16,관리자,1등급,20180508,M
1,남구(부산),청소년,출장,15,관리자,3등급,20180508,M
1,남구(부산),청소년,출장,15,관리자,3등급,20180508,M
1,남구(부산),청소년,출장,15,관리자,참가증,20180508,M
1,남구(부산),청소년,출장,16,관리자,참가증,20180508,M
1,남구(부산),청소년,출장,16,관리자,참가증,20180508,M
1,남구(부산),청소년,출장,15,관리자,참가증,20180508,M
1,남구(부산),청소년,출장,15,관리자,참가증,20180508,M
1,남구(부산),청소년,출장,15,관리자,참가증,20180508,M
2,마포,청소년,출장,16,관리자,참가증,20180512,F
2,마포,청소년,출장,16,관리자,참가증,20180512,F
2,마포,청소년,출장,17,관리자,2등급,20180512,F
2,마포,청소년,출장,17,관리자,2등급,20180512,F
1,마포,청소년,출장,16,관리자,3등급,20180512,F
2,마포,청소년,출장,17,관리자,참가증,20180512,F
2,마포,청소년,출장,17,관리자,3등급,20180512,F
2,마포,청소년,출장,16,관리자,3등급,20180512,F
2,마포,청소년,출장,16,관리자,2등급,20180512,F
2,마포,청소년,출장,16,관리자,3등급,20180512,F
2,마포,청소년,출장,17,관리자,2등급,20180512,F
2,마포,청소년,출장,16,관리자,참가증,20180512,F
2,세종,성인,출장,26,관리자,1등급,20180508,M
1,전주,노인,출장,72,관리자,참가증,20180504,F
1,제주,성인,일반,32,관리자,3등급,20180508,M
1,달서,성인,일반,53,인바디,참가증,20180508,F
1,전주,노인,출장,72,관리자,참가증,20180504,F
1,달서,성인,일반,28,인바디,참가증,20180508,M
11,달서,성인,일반,30,인바디,2등급,20180508,M
2,세종,성인,출장,39,관리자,2등급,20180508,F
2,마포,청소년,출장,18,관리자,참가증,20180513,F
2,전주,노인,출장,75,관리자,참가증,20180504,F
3,전주,노인,출장,80,관리자,참가증,20180504,F
2,세종,성인,출장,58,관리자,참가증,20180508,F
2,마포,청소년,출장,18,관리자,3등급,20180513,F
1,전주,노인,출장,66,관리자,참가증,20180504,F
1,전주,노인,출장,66,관리자,참가증,20180504,F
2,마포,청소년,출장,18,관리자,참가증,20180512,F
