TEST_CNT,CENTER_NM,AGE_GBN,TEST_GBN,TEST_AGE,INPUT_GBN,CERT_GBN,TEST_YMD,TEST_SEX
1,북구(부산),성인,출장,49,관리자,참가증,20180302,F
1,달서,성인,일반,53,인바디,참가증,20180322,F
1,달서,성인,일반,61,인바디,참가증,20180322,F
4,청주,성인,일반,56,인바디,참가증,20180322,F
6,청주,성인,일반,59,인바디,1등급,20180322,F
6,청주,성인,일반,63,인바디,참가증,20180322,F
2,청주,성인,일반,63,인바디,2등급,20180322,F
2,청주,성인,일반,46,인바디,참가증,20180322,F
5,청주,성인,일반,60,인바디,3등급,20180322,F
16,청주,성인,일반,57,인바디,1등급,20180322,M
2,동구(광주),성인,일반,20,관리자,참가증,20180322,M
1,원주,성인,일반,25,인바디,참가증,20180322,M
3,성남,성인,일반,58,인바디,3등급,20180322,M
1,성남,성인,일반,45,인바디,참가증,20180322,F
1,성남,성인,일반,50,인바디,참가증,20180322,F
3,남구(부산),성인,출장,45,관리자,참가증,20180322,F
1,남구(부산),노인,출장,73,관리자,3등급,20180322,M
1,남구(부산),성인,출장,53,관리자,2등급,20180322,M
1,남구(부산),성인,출장,59,관리자,참가증,20180322,M
2,남구(부산),성인,출장,46,관리자,2등급,20180322,F
9,청주,성인,일반,62,인바디,2등급,20180322,F
7,청주,성인,일반,60,인바디,3등급,20180322,F
1,남구(부산),성인,출장,38,관리자,참가증,20180322,M
7,청주,노인,일반,66,인바디,2등급,20180322,F
7,청주,노인,일반,65,인바디,2등급,20180322,M
9,순천,성인,일반,51,인바디,참가증,20180309,F
1,달서,노인,일반,68,인바디,참가증,20180309,F
1,서초,성인,일반,64,인바디,2등급,20180309,M
1,금천,성인,일반,23,관리자,3등급,20180309,F
10,연수,성인,일반,31,관리자,참가증,20180309,M
1,청주,노인,일반,71,인바디,참가증,20180309,F
6,달서,성인,일반,39,인바디,3등급,20180309,M
1,금천,성인,일반,23,관리자,참가증,20180309,F
12,남원,성인,일반,26,관리자,참가증,20180319,F
10,청주,노인,일반,66,인바디,3등급,20180322,F
1,원주,성인,일반,25,인바디,참가증,20180322,M
4,청주,성인,일반,62,인바디,2등급,20180322,F
1,원주,성인,일반,21,인바디,참가증,20180322,F
4,청주,노인,일반,65,인바디,2등급,20180322,F
1,성남,성인,일반,41,인바디,참가증,20180322,F
2,청주,노인,일반,71,인바디,참가증,20180322,M
2,청주,노인,일반,67,인바디,참가증,20180322,F
12,청주,성인,일반,56,인바디,2등급,20180322,F
16,청주,성인,일반,51,인바디,3등급,20180322,F
2,청주,성인,일반,51,인바디,1등급,20180322,F
2,금천,성인,출장,29,관리자,참가증,20180306,M
1,마포,성인,일반,40,관리자,참가증,20180306,M
3,안동,성인,일반,46,인바디,1등급,20180306,F
1,청주,노인,일반,71,관리자,참가증,20180306,F
1,KSPO송파,성인,일반,45,인바디,2등급,20180306,M
2,오산,성인,일반,35,관리자,3등급,20180306,F
2,연수,노인,일반,69,인바디,2등급,20180306,M
1,마포,노인,일반,71,인바디,3등급,20180306,M
6,달서,노인,일반,70,관리자,참가증,20180306,F
3,화성,노인,일반,69,관리자,2등급,20180306,F
2,연수,성인,일반,62,인바디,참가증,20180306,F
1,KSPO송파,성인,일반,52,인바디,참가증,20180306,F
1,화성,성인,일반,64,관리자,참가증,20180306,F
6,달서,노인,일반,76,관리자,2등급,20180306,F
1,서구(대전),성인,일반,48,관리자,참가증,20180306,F
1,동작,성인,일반,55,관리자,참가증,20180306,M
1,서구(대전),성인,일반,51,관리자,참가증,20180306,F
1,동구(광주),노인,일반,74,관리자,참가증,20180306,M
10,순천,노인,일반,72,인바디,3등급,20180306,F
2,노원,성인,일반,45,관리자,참가증,20180306,F
1,서구(대전),성인,일반,63,관리자,참가증,20180306,F
1,금천,성인,출장,40,관리자,참가증,20180306,M
9,화성,성인,일반,51,관리자,참가증,20180306,F
10,서구(대전),노인,일반,69,관리자,3등급,20180306,F
1,안동,노인,일반,65,인바디,3등급,20180306,M
1,서구(대전),노인,일반,66,관리자,1등급,20180306,F
16,서구(대전),성인,일반,40,관리자,1등급,20180306,F
7,서구(대전),성인,일반,62,관리자,2등급,20180306,F
1,금천,성인,출장,36,관리자,참가증,20180307,F
1,금천,성인,출장,46,관리자,참가증,20180307,M
4,금천,성인,출장,33,관리자,참가증,20180307,M
17,서초,노인,일반,71,인바디,1등급,20180307,F
2,금천,성인,출장,31,관리자,참가증,20180307,M
1,동구(광주),성인,일반,22,관리자,참가증,20180307,F
1,안동,성인,일반,44,관리자,3등급,20180307,F
1,동구(광주),성인,일반,48,관리자,참가증,20180307,F
6,달서,노인,일반,70,관리자,3등급,20180307,M
6,달서,성인,일반,56,관리자,3등급,20180307,M
1,마포,노인,일반,68,관리자,참가증,20180307,M
1,금천,성인,출장,38,관리자,참가증,20180307,M
1,금천,성인,출장,39,관리자,참가증,20180307,M
1,금천,성인,출장,39,관리자,참가증,20180307,M
1,금천,성인,출장,41,관리자,참가증,20180307,M
1,금천,성인,출장,40,관리자,참가증,20180307,M
14,서초,노인,일반,78,인바디,2등급,20180307,M
7,곡성,노인,일반,67,관리자,참가증,20180307,F
1,천안,성인,일반,52,인바디,참가증,20180307,M
2,동작,노인,일반,74,관리자,1등급,20180307,M
1,순천,성인,일반,22,인바디,참가증,20180307,M
2,사상,성인,일반,64,관리자,3등급,20180307,F
1,의정부,노인,일반,65,관리자,참가증,20180307,M
6,달서,성인,일반,60,관리자,참가증,20180307,F
2,동작,성인,일반,61,관리자,2등급,20180307,M
2,동구(광주),성인,일반,21,관리자,참가증,20180307,F
1,순천,성인,일반,30,인바디,참가증,20180307,F
1,KSPO송파,성인,일반,58,인바디,1등급,20180307,M
1,서구(대전),성인,일반,25,관리자,참가증,20180307,F
1,연수,성인,일반,43,관리자,참가증,20180307,F
1,KSPO송파,노인,일반,69,인바디,3등급,20180307,M
