TEST_CNT,CENTER_NM,AGE_GBN,TEST_GBN,TEST_AGE,INPUT_GBN,CERT_GBN,TEST_YMD,TEST_SEX
1,성남,성인,출장,53,관리자,참가증,20170921,M
3,영동,청소년,출장,16,관리자,2등급,20170901,M
1,남구(부산),노인,출장,78,관리자,3등급,20170914,F
1,광산,청소년,출장,14,관리자,참가증,20170913,M
1,곡성,성인,일반,35,관리자,2등급,20170914,M
1,곡성,성인,일반,46,관리자,참가증,20170914,F
2,부천,성인,일반,30,관리자,3등급,20170914,F
1,사상,성인,출장,22,관리자,1등급,20170914,M
1,사상,성인,출장,20,관리자,참가증,20170914,F
1,곡성,성인,일반,35,관리자,2등급,20170914,F
1,사상,성인,출장,21,관리자,참가증,20170914,M
1,사상,성인,출장,20,관리자,2등급,20170914,F
1,노원,청소년,일반,18,관리자,2등급,20170914,M
1,사상,성인,출장,20,관리자,참가증,20170914,F
4,영동,청소년,출장,16,관리자,참가증,20170901,M
1,사상,성인,출장,24,관리자,1등급,20170914,M
1,KSPO송파,성인,일반,33,인바디,참가증,20170901,F
2,영동,청소년,출장,16,관리자,2등급,20170901,M
3,영동,청소년,출장,16,관리자,1등급,20170901,M
1,영동,청소년,출장,16,관리자,2등급,20170901,M
1,KSPO(버스),노인,출장,65,관리자,3등급,20170901,M
4,영동,청소년,출장,16,관리자,참가증,20170901,M
2,강릉,성인,출장,48,관리자,1등급,20170901,F
3,영동,청소년,출장,15,관리자,참가증,20170901,M
4,영동,청소년,출장,16,관리자,3등급,20170901,M
2,영동,청소년,출장,16,관리자,3등급,20170901,F
1,KSPO(버스),성인,출장,55,관리자,참가증,20170901,M
4,영동,청소년,출장,16,관리자,1등급,20170901,F
1,세종,성인,일반,37,인바디,참가증,20170901,F
3,영동,청소년,출장,16,관리자,참가증,20170901,F
3,영동,청소년,출장,15,관리자,참가증,20170901,F
3,영동,청소년,출장,15,관리자,참가증,20170901,F
1,성남,성인,일반,52,인바디,3등급,20170901,F
3,영동,청소년,출장,16,관리자,3등급,20170901,F
3,영동,청소년,출장,16,관리자,참가증,20170901,F
1,전주,성인,일반,37,인바디,3등급,20170901,F
3,영동,청소년,출장,16,관리자,1등급,20170901,F
5,남원,성인,일반,57,관리자,3등급,20170901,M
2,영동,청소년,출장,15,관리자,1등급,20170901,F
4,영동,청소년,출장,16,관리자,참가증,20170901,F
3,영동,청소년,출장,16,관리자,3등급,20170901,F
4,영동,청소년,출장,15,관리자,3등급,20170901,F
3,영동,청소년,출장,16,관리자,참가증,20170901,F
1,영동,청소년,출장,16,관리자,참가증,20170901,F
2,영동,청소년,출장,15,관리자,참가증,20170901,F
2,성동,성인,일반,28,인바디,3등급,20170901,F
3,영동,청소년,출장,15,관리자,참가증,20170901,F
1,영동,청소년,출장,16,관리자,참가증,20170901,F
1,성동,성인,일반,38,관리자,참가증,20170901,F
1,영동,청소년,출장,16,관리자,참가증,20170901,F
1,사천,청소년,출장,13,관리자,참가증,20170904,M
1,원주,청소년,출장,15,관리자,참가증,20170904,M
5,부천,성인,출장,54,관리자,1등급,20170903,M
1,원주,청소년,출장,13,관리자,참가증,20170904,F
1,원주,청소년,출장,15,관리자,참가증,20170904,F
1,원주,청소년,출장,13,관리자,1등급,20170904,F
2,부천,성인,출장,53,관리자,1등급,20170903,M
1,원주,청소년,출장,15,관리자,참가증,20170904,F
1,원주,청소년,출장,13,관리자,2등급,20170904,F
1,창원,성인,일반,23,관리자,참가증,20170904,M
1,부천,성인,출장,52,관리자,1등급,20170903,M
1,원주,청소년,출장,13,관리자,3등급,20170904,M
1,원주,청소년,출장,15,관리자,참가증,20170904,F
3,부천,성인,출장,56,관리자,2등급,20170903,M
1,원주,청소년,출장,13,관리자,2등급,20170904,F
4,부천,성인,출장,44,관리자,1등급,20170903,F
8,부천,성인,출장,58,관리자,1등급,20170903,M
4,부천,성인,출장,49,관리자,1등급,20170903,F
1,원주,청소년,출장,13,관리자,참가증,20170904,F
3,부천,성인,출장,42,관리자,참가증,20170903,F
1,원주,청소년,출장,15,관리자,참가증,20170904,F
1,원주,청소년,출장,13,관리자,3등급,20170904,F
2,부천,성인,출장,37,관리자,1등급,20170903,F
2,부천,성인,출장,37,관리자,참가증,20170903,F
4,남원,노인,일반,77,관리자,3등급,20170904,M
1,광산,청소년,출장,18,관리자,1등급,20170904,M
1,달서,성인,일반,46,인바디,참가증,20170904,M
4,남원,노인,일반,70,관리자,3등급,20170904,F
1,KSPO송파(출장A),성인,출장,61,관리자,참가증,20170904,F
1,원주,청소년,출장,15,관리자,참가증,20170904,F
1,원주,청소년,출장,13,관리자,3등급,20170904,F
3,남원,노인,일반,70,관리자,2등급,20170904,M
1,부천,성인,출장,39,관리자,1등급,20170903,F
1,KSPO송파(출장A),성인,출장,61,관리자,참가증,20170904,F
1,원주,청소년,출장,14,관리자,참가증,20170904,F
2,남원,노인,일반,68,관리자,참가증,20170904,M
1,원주,청소년,출장,13,관리자,참가증,20170904,F
2,전주,성인,출장,58,관리자,2등급,20170905,F
2,동구(광주),노인,일반,75,관리자,참가증,20170905,M
3,성동,성인,일반,22,관리자,참가증,20170905,F
3,전주,노인,출장,73,관리자,3등급,20170905,M
1,동구(광주),성인,일반,25,관리자,참가증,20170905,M
2,성동,성인,일반,19,관리자,참가증,20170905,F
5,전주,성인,출장,56,관리자,참가증,20170905,F
1,원주,청소년,출장,13,관리자,참가증,20170905,M
3,성동,성인,일반,23,관리자,참가증,20170905,F
1,화성,성인,일반,43,관리자,참가증,20170905,F
1,원주,청소년,출장,13,관리자,1등급,20170905,M
