TEST_CNT,CENTER_NM,AGE_GBN,TEST_GBN,TEST_AGE,INPUT_GBN,CERT_GBN,TEST_YMD,TEST_SEX
1,마포,성인,일반,58,관리자,3등급,20190116,F
2,KSPO송파,노인,일반,67,인바디,참가증,20190122,M
6,금천,노인,출장,79,관리자,2등급,20190116,F
1,춘천,노인,출장,71,관리자,3등급,20190130,F
2,연수,성인,출장,23,관리자,2등급,20190123,M
2,연수,성인,출장,22,관리자,3등급,20190123,M
1,연수,성인,출장,22,관리자,1등급,20190123,M
1,연수,성인,출장,25,관리자,1등급,20190123,M
1,연수,성인,출장,32,관리자,1등급,20190123,M
1,연수,성인,출장,28,관리자,3등급,20190123,M
1,연수,성인,출장,26,관리자,참가증,20190123,M
1,연수,성인,출장,22,관리자,1등급,20190123,M
1,연수,성인,출장,28,관리자,2등급,20190123,M
1,연수,성인,출장,20,관리자,3등급,20190123,M
1,연수,성인,출장,23,관리자,3등급,20190123,M
2,연수,성인,출장,19,관리자,참가증,20190123,M
2,연수,성인,출장,22,관리자,3등급,20190123,M
1,연수,성인,출장,22,관리자,1등급,20190123,M
1,연수,성인,출장,33,관리자,2등급,20190123,M
1,연수,성인,출장,29,관리자,2등급,20190123,M
1,연수,성인,출장,21,관리자,1등급,20190123,M
1,연수,성인,출장,34,관리자,2등급,20190123,M
1,연수,성인,출장,32,관리자,1등급,20190123,M
1,연수,성인,출장,28,관리자,2등급,20190123,M
2,연수,성인,출장,22,관리자,3등급,20190123,M
2,연수,성인,출장,23,관리자,참가증,20190123,M
2,연수,성인,출장,29,관리자,1등급,20190123,M
2,연수,성인,출장,25,관리자,2등급,20190123,M
1,연수,성인,출장,28,관리자,2등급,20190123,M
1,연수,성인,출장,25,관리자,1등급,20190123,M
1,달서,청소년,일반,18,인바디,참가증,20190128,F
1,전주,성인,출장,20,관리자,2등급,20190128,M
4,안동,성인,일반,41,관리자,3등급,20190128,F
1,안동,성인,일반,48,관리자,3등급,20190128,F
5,안동,성인,일반,44,관리자,3등급,20190128,F
1,제주,성인,일반,48,관리자,3등급,20190128,F
1,마포,성인,일반,24,관리자,3등급,20190128,F
1,청주,노인,일반,66,인바디,2등급,20190128,F
1,청주,노인,일반,75,인바디,참가증,20190128,M
1,청주,노인,일반,82,인바디,2등급,20190128,M
1,동구(광주),성인,일반,24,관리자,참가증,20190128,M
2,노원,노인,일반,74,관리자,참가증,20190128,M
1,성남,노인,일반,67,관리자,참가증,20190128,F
1,성남,노인,일반,71,관리자,참가증,20190128,F
1,증평,노인,일반,69,관리자,참가증,20190128,M
1,증평,노인,일반,65,관리자,참가증,20190128,F
1,전주,성인,출장,19,관리자,2등급,20190128,F
1,전주,성인,출장,19,관리자,1등급,20190128,F
1,전주,성인,출장,19,관리자,2등급,20190128,F
1,전주,성인,출장,19,관리자,1등급,20190128,F
1,노원,성인,일반,24,인바디,참가증,20190128,M
1,전주,성인,출장,19,관리자,참가증,20190128,F
1,전주,성인,출장,19,관리자,3등급,20190128,M
1,충주,성인,일반,55,관리자,참가증,20190128,F
1,충주,성인,일반,60,관리자,참가증,20190128,F
1,마포,노인,일반,69,관리자,참가증,20190128,M
1,마포,노인,일반,80,관리자,3등급,20190128,M
3,동구(광주),성인,일반,24,관리자,참가증,20190128,M
1,달서,노인,일반,67,인바디,2등급,20190128,F
4,금천,성인,일반,55,관리자,참가증,20190128,F
2,동구(광주),노인,일반,70,관리자,참가증,20190128,F
2,동구(광주),노인,일반,73,관리자,2등급,20190128,M
3,안동,성인,일반,62,관리자,참가증,20190128,M
1,안동,노인,일반,68,관리자,2등급,20190128,F
1,연수,성인,일반,24,관리자,참가증,20190128,M
1,마포,노인,일반,70,관리자,2등급,20190128,M
1,마포,노인,일반,72,관리자,2등급,20190128,M
1,세종,성인,일반,57,인바디,참가증,20190128,F
1,춘천,노인,출장,76,관리자,참가증,20190130,M
1,춘천,노인,출장,82,관리자,3등급,20190130,F
1,춘천,노인,출장,78,관리자,참가증,20190130,F
1,춘천,노인,출장,77,관리자,참가증,20190130,F
1,마포,성인,일반,61,관리자,참가증,20190130,M
1,춘천,노인,출장,78,관리자,2등급,20190130,F
1,춘천,노인,출장,78,관리자,참가증,20190130,M
1,마포,성인,일반,61,관리자,참가증,20190130,F
1,춘천,노인,출장,88,관리자,3등급,20190130,F
1,춘천,노인,출장,73,관리자,참가증,20190130,M
2,연수,성인,출장,24,관리자,3등급,20190123,M
2,연수,성인,출장,22,관리자,2등급,20190123,M
1,연수,성인,출장,22,관리자,2등급,20190123,M
1,연수,성인,출장,20,관리자,2등급,20190123,M
1,연수,성인,출장,23,관리자,3등급,20190123,M
1,연수,성인,출장,23,관리자,참가증,20190123,M
2,연수,성인,출장,21,관리자,참가증,20190123,M
1,연수,성인,출장,22,관리자,2등급,20190123,M
1,연수,성인,출장,22,관리자,1등급,20190123,M
2,연수,성인,출장,20,관리자,3등급,20190123,M
1,연수,성인,출장,24,관리자,참가증,20190123,M
1,연수,성인,출장,22,관리자,2등급,20190123,M
1,연수,성인,출장,20,관리자,2등급,20190123,M
1,연수,성인,출장,24,관리자,참가증,20190123,M
2,연수,성인,출장,25,관리자,2등급,20190123,M
2,연수,성인,출장,27,관리자,3등급,20190123,M
2,연수,성인,출장,23,관리자,1등급,20190123,M
2,연수,성인,출장,24,관리자,3등급,20190123,M
1,연수,성인,출장,23,관리자,참가증,20190123,M
1,연수,성인,출장,19,관리자,2등급,20190123,M
2,연수,성인,출장,21,관리자,2등급,20190123,M
10,순천,노인,일반,65,인바디,참가증,20190124,F
17,순천,성인,일반,22,인바디,2등급,20190124,F
2,연수,성인,출장,23,관리자,2등급,20190123,M
1,연수,성인,출장,23,관리자,참가증,20190123,M
1,연수,성인,출장,24,관리자,참가증,20190123,M
2,연수,성인,출장,21,관리자,참가증,20190123,M
2,연수,성인,출장,23,관리자,2등급,20190123,M
2,연수,성인,출장,23,관리자,2등급,20190123,M
1,연수,성인,출장,22,관리자,참가증,20190123,M
1,연수,성인,출장,20,관리자,참가증,20190123,M
1,연수,성인,출장,19,관리자,3등급,20190123,M
1,연수,성인,출장,22,관리자,1등급,20190123,F
1,연수,성인,출장,23,관리자,참가증,20190123,M
1,연수,성인,출장,20,관리자,3등급,20190123,M
1,연수,성인,출장,20,관리자,3등급,20190123,M
1,연수,성인,출장,20,관리자,참가증,20190123,M
1,연수,성인,출장,21,관리자,3등급,20190123,M
2,연수,성인,출장,27,관리자,1등급,20190123,M
1,연수,성인,출장,29,관리자,2등급,20190123,M
1,연수,성인,출장,33,관리자,1등급,20190123,M
1,연수,성인,출장,24,관리자,3등급,20190123,M
1,연수,성인,출장,28,관리자,1등급,20190123,M
1,연수,성인,출장,21,관리자,2등급,20190123,M
10,청주,성인,일반,49,인바디,참가증,20190124,F
1,청주,성인,일반,43,인바디,참가증,20190124,F
2,연수,성인,출장,24,관리자,참가증,20190123,M
1,연수,성인,출장,21,관리자,3등급,20190123,M
1,청주,성인,일반,52,인바디,2등급,20190124,F
1,연수,성인,출장,20,관리자,3등급,20190123,M
1,연수,성인,출장,24,관리자,3등급,20190123,M
2,노원,성인,일반,63,인바디,2등급,20190128,M
1,전주,성인,출장,19,관리자,3등급,20190128,F
1,전주,성인,출장,19,관리자,2등급,20190128,M
1,전주,성인,출장,19,관리자,참가증,20190128,F
1,전주,성인,출장,19,관리자,참가증,20190128,M
1,제주,성인,일반,26,관리자,참가증,20190128,M
1,전주,성인,출장,19,관리자,3등급,20190128,M
1,전주,성인,출장,19,관리자,3등급,20190128,M
1,전주,성인,출장,19,관리자,3등급,20190128,M
1,전주,성인,출장,20,관리자,참가증,20190128,M
1,전주,성인,출장,19,관리자,2등급,20190128,M
1,전주,성인,출장,19,관리자,2등급,20190128,M
1,전주,성인,출장,19,관리자,참가증,20190128,M
1,동구(광주),성인,일반,23,관리자,참가증,20190128,F
1,전주,성인,출장,19,관리자,참가증,20190128,F
1,동구(광주),성인,일반,39,관리자,참가증,20190128,F
1,전주,성인,출장,19,관리자,참가증,20190128,M
